請求コード,品名,分類
610406390,ベイスン錠０．２　０．２ｍｇ,dm
610406391,ベイスン錠０．３　０．３ｍｇ,dm
610412056,グリベンクラミド錠１．２５ｍｇ「ＥＭＥＣ」,dm
610432026,スターシス錠３０ｍｇ,dm
610432027,スターシス錠９０ｍｇ,dm
610432032,ファスティック錠３０　３０ｍｇ,dm
610432033,ファスティック錠９０　９０ｍｇ,dm
610432040,アクトス錠１５　１５ｍｇ,dm
610432041,アクトス錠３０　３０ｍｇ,dm
610443002,アマリール１ｍｇ錠,dm
610443003,アマリール３ｍｇ錠,dm
613960002,オイグルコン錠１．２５ｍｇ,dm
613960003,オイグルコン錠２．５ｍｇ,dm
613960008,クロルプロパミド錠　２５０ｍｇ,dm
613960017,ジメリン錠２５０ｍｇ,dm
613960026,トルブタミド,dm
613960027,トルブタミド錠　２５０ｍｇ,dm
613960028,トルブタミド錠　５００ｍｇ,dm
613960038,パミルコン錠１．２５ｍｇ,dm
613960039,パミルコン錠２．５ｍｇ,dm
613960081,グルコバイ錠５０ｍｇ,dm
613960082,グルコバイ錠１００ｍｇ,dm
620000048,ジメリン錠５００ｍｇ,dm
620001907,グルファスト錠５ｍｇ,dm
620001908,グルファスト錠１０ｍｇ,dm
620002031,グリミクロンＨＡ錠２０ｍｇ,dm
620002032,グリミクロン錠４０ｍｇ,dm
620002120,ベイスンＯＤ錠０．２　０．２ｍｇ,dm
620002121,ベイスンＯＤ錠０．３　０．３ｍｇ,dm
620002841,ボグリボース錠０．２「タツミ」　０．２ｍｇ,dm
620002843,ボグリボース錠０．２ｍｇ「トーワ」,dm
620002845,ボグリボース錠０．３「タツミ」　０．３ｍｇ,dm
620002847,ボグリボース錠０．３ｍｇ「トーワ」,dm
620003127,セイブル錠２５ｍｇ,dm
620003128,セイブル錠５０ｍｇ,dm
620003129,セイブル錠７５ｍｇ,dm
620003159,ダオニール錠１．２５ｍｇ,dm
620003160,ダオニール錠２．５ｍｇ,dm
620003947,グリクラジド錠２０ｍｇ「ＮＰ」,dm
620003948,グリクラジド錠４０ｍｇ「ＮＰ」,dm
620004045,ベグリラート錠０．２ｍｇ,dm
620004046,ベグリラート錠０．３ｍｇ,dm
620004069,ボグリボースＯＤフィルム０．２「ＱＱ」　０．２ｍｇ,dm
620004070,ボグリボースＯＤフィルム０．３「ＱＱ」　０．３ｍｇ,dm
620004071,ボグリボース錠０．２「ＯＭＥ」　０．２ｍｇ,dm
620004072,ボグリボース錠０．２ｍｇ「ＮＰ」,dm
620004073,ボグリボース錠０．３「ＯＭＥ」　０．３ｍｇ,dm
620004074,ボグリボース錠０．３ｍｇ「ＮＰ」,dm
620004480,グリコラン錠２５０ｍｇ,dm
620004502,ジベトス錠５０ｍｇ,dm
620005557,ボグリボースＯＤ錠０．２ｍｇ「ＭＥＤ」,dm
620005558,ボグリボースＯＤ錠０．２ｍｇ「ケミファ」,dm
620005559,ボグリボースＯＤ錠０．２ｍｇ「サワイ」,dm
620005560,ボグリボースＯＤ錠０．２ｍｇ「タイヨー」,dm
620005561,ボグリボースＯＤ錠０．２ｍｇ「トーワ」,dm
620005562,ボグリボースＯＤ錠０．３ｍｇ「ＭＥＤ」,dm
620005563,ボグリボースＯＤ錠０．３ｍｇ「ケミファ」,dm
620005564,ボグリボースＯＤ錠０．３ｍｇ「サワイ」,dm
620005565,ボグリボースＯＤ錠０．３ｍｇ「タイヨー」,dm
620005566,ボグリボースＯＤ錠０．３ｍｇ「トーワ」,dm
620005570,メトホルミン塩酸塩錠２５０ｍｇ「トーワ」,dm
620005979,ジベトンＳ腸溶錠５０ｍｇ,dm
620006030,デアメリンＳ錠２５０ｍｇ,dm
620006890,グリベンクラミド錠２．５ｍｇ「トーワ」,dm
620008071,ボグリボースＯＤ錠０．２ｍｇ「ＭＥＥＫ」,dm
620008072,ボグリボースＯＤ錠０．２ｍｇ「タカタ」,dm
620008073,ボグリボースＯＤ錠０．２ｍｇ「日医工」,dm
620008074,ボグリボースＯＤ錠０．３ｍｇ「ＭＥＥＫ」,dm
620008075,ボグリボースＯＤ錠０．３ｍｇ「タカタ」,dm
620008076,ボグリボースＯＤ錠０．３ｍｇ「日医工」,dm
620008726,ボグリボース錠０．２ｍｇ「ＭＥＥＫ」,dm
620008727,ボグリボース錠０．２ｍｇ「ＭＥＤ」,dm
620008728,ボグリボース錠０．３ｍｇ「ＭＥＥＫ」,dm
620008729,ボグリボース錠０．３ｍｇ「ＭＥＤ」,dm
620009209,アベマイド錠２５０ｍｇ,dm
620009288,アカルボース錠５０ｍｇ「ＮＳ」,dm
620009289,アカルボース錠５０ｍｇ「ＪＧ」,dm
620009290,アカルボース錠５０ｍｇ「日医工」,dm
620009291,アカルボース錠５０ｍｇ「ＢＭＤ」,dm
620009292,アカルボース錠５０ｍｇ「ＹＤ」,dm
620009293,アカルボース錠１００ｍｇ「ＮＳ」,dm
620009294,アカルボース錠１００ｍｇ「ＪＧ」,dm
620009295,アカルボース錠１００ｍｇ「日医工」,dm
620009296,アカルボース錠１００ｍｇ「ＢＭＤ」,dm
620009297,アカルボース錠１００ｍｇ「ＹＤ」,dm
620871407,グリベンクラミド錠１．２５ｍｇ「武田テバ」,dm
620871601,グリベンクラミド錠１．２５ｍｇ「三和」,dm
620871907,グリベンクラミド錠２．５ｍｇ「武田テバ」,dm
620872002,グリベンクラミド錠２．５ｍｇ「サワイ」,dm
620872003,グリベンクラミド錠２．５ｍｇ「三和」,dm
620872004,グリベンクラミド錠２．５ｍｇ「タイヨー」,dm
620872009,グリベンクラミド錠２．５ｍｇ「日医工」,dm
620872016,グリベンクラミド錠２．５ｍｇ「ＪＧ」,dm
620873202,グリクラジド錠４０ｍｇ「ＫＮ」,dm
620873301,グリクラジド錠４０ｍｇ「サワイ」,dm
620873402,グリクラジド錠４０ｍｇ「トーワ」,dm
620873702,グリクラジド錠４０ｍｇ「日新」,dm
621665301,ボグリボース錠０．２ｍｇ「タイヨー」,dm
621665401,ボグリボース錠０．３ｍｇ「タイヨー」,dm
621673501,ボグリボース錠０．２ｍｇ「日医工」,dm
621673601,ボグリボース錠０．３ｍｇ「日医工」,dm
621676001,メトホルミン塩酸塩錠２５０ｍｇ「ＳＮ」,dm
621683401,ボグリボース錠０．２ｍｇ「タカタ」,dm
621683501,ボグリボース錠０．３ｍｇ「タカタ」,dm
621689001,ボグリボース錠０．２ｍｇ「ＹＤ」,dm
621689101,ボグリボース錠０．３ｍｇ「ＹＤ」,dm
621689303,ボグリボース錠０．２ｍｇ「ＮＳ」,dm
621689403,ボグリボース錠０．３ｍｇ「ＮＳ」,dm
621690203,ボグリボース錠０．２ｍｇ「ＪＧ」,dm
621690303,ボグリボース錠０．３ｍｇ「ＪＧ」,dm
