請求コード,品名,分類
610407028,ベザトールＳＲ錠１００ｍｇ,dl
610422262,ベザレックスＳＲ錠１００　１００ｍｇ,dl
610422263,ベザレックスＳＲ錠２００　２００ｍｇ,dl
610422264,ベスタリットＬ錠１００　１００ｍｇ,dl
610422265,ベスタリットＬ錠２００　２００ｍｇ,dl
610422276,ミデナールＬ錠２００　２００ｍｇ,dl
610432003,コレバイン錠５００ｍｇ,dl
610443013,リピトール錠５ｍｇ,dl
610443014,リピトール錠１０ｍｇ,dl
610454084,メバロチン細粒０．５％,dl
610454085,メバロチン錠５　５ｍｇ,dl
610462007,コレバインミニ８３％,dl
610462015,リポバス錠１０　１０ｍｇ,dl
610462016,リポバス錠２０　２０ｍｇ,dl
610463087,シンレスタール細粒５０％,dl
610470012,ローコール錠１０ｍｇ,dl
610470013,ローコール錠２０ｍｇ,dl
610470014,ローコール錠３０ｍｇ,dl
612180004,ＭＤＳコーワ錠３００　３００ｍｇ,dl
612180028,クロフィブラートカプセル　２５０ｍｇ,dl
612180029,クロフィブラートカプセル　５００ｍｇ,dl
612180106,リポクリン錠２００　２００ｍｇ,dl
612180140,ペリシット錠１２５ｍｇ,dl
612180141,ペリシット錠２５０ｍｇ,dl
612180263,リポバス錠５　５ｍｇ,dl
612180264,メバロチン細粒１％,dl
612180265,メバロチン錠１０　１０ｍｇ,dl
612180292,ニコモール錠　２００ｍｇ,dl
620000052,シンバスタチン錠５ｍｇ「アメル」,dl
620000053,シンバスタチン錠５「ＭＥＥＫ」　５ｍｇ,dl
620000103,プラバスタチンＮａ錠５ｍｇ「アメル」,dl
620000104,プラバスタチンＮａ錠１０ｍｇ「アメル」,dl
620000105,プラバスタチンＮａ錠５「ＫＮ」　５ｍｇ,dl
620000106,プラバスタチンＮａ錠１０「ＫＮ」　１０ｍｇ,dl
620000107,プラバスタチンナトリウム錠「陽進」５ｍｇ,dl
620000108,プラバスタチンナトリウム錠「陽進」１０ｍｇ,dl
620000151,メバトルテ細粒１％,dl
620000152,メバトルテ錠５　５ｍｇ,dl
620000153,メバトルテ錠１０　１０ｍｇ,dl
620000158,メバリリン錠１０　１０ｍｇ,dl
620000159,メバレクト錠５ｍｇ,dl
620000160,メバレクト錠１０ｍｇ,dl
620000169,ラミアン錠５ｍｇ,dl
620000176,リポザート錠５　５ｍｇ,dl
620000178,リポバトール錠５　５ｍｇ,dl
620000422,リバロ錠１ｍｇ,dl
620000423,リバロ錠２ｍｇ,dl
620001883,ベザフィブラート２００ｍｇ徐放錠,dl
620002123,ベザトールＳＲ錠２００ｍｇ,dl
620002163,リポザート錠１０　１０ｍｇ,dl
620002477,クレストール錠２．５ｍｇ,dl
620002478,クレストール錠５ｍｇ,dl
620002508,ＭＤＳコーワ錠１５０　１５０ｍｇ,dl
620002736,シンバスタチン錠１０「ＭＥＥＫ」　１０ｍｇ,dl
620002798,プラバスタチンＮａ錠５ｍｇ「チョーセイ」,dl
620002799,プラバスタチンＮａ錠１０ｍｇ「チョーセイ」,dl
620002800,プラバスタチンナトリウム錠５ｍｇ「ツルハラ」,dl
620003669,ロレルコ錠２５０ｍｇ,dl
620004038,プラバスタチンナトリウム錠１０ｍｇ「ツルハラ」,dl
620004085,メバリリン錠５　５ｍｇ,dl
620004459,エラスチーム錠１８００　１，８００単位,dl
620004868,ゼチーア錠１０ｍｇ,dl
620005785,コレキサミン錠２００ｍｇ,dl
620005920,ＥＰＬカプセル２５０ｍｇ,dl
620006115,プロブコール錠２５０ｍｇ「トーワ」,dl
620006870,エルモナーゼ錠１８００　１，８００単位,dl
620008053,プラバスタチンＮａ塩錠５ｍｇ「タナベ」,dl
620008054,プラバスタチンＮａ塩錠１０ｍｇ「タナベ」,dl
620008055,プラバスタチンナトリウム錠５ｍｇ「ＮＰ」,dl
620008056,プラバスタチンナトリウム錠１０ｍｇ「ＮＰ」,dl
620008508,ベザフィブラートＳＲ錠１００ｍｇ「日医工」,dl
620008631,シンレスタール錠２５０ｍｇ,dl
620009322,シンバスタチン錠５ｍｇ「マイラン」,dl
620009323,シンバスタチン錠１０ｍｇ「マイラン」,dl
620009324,シンバスタチン錠２０「ＭＥＥＫ」　２０ｍｇ,dl
620009325,シンバスタチン錠２０ｍｇ「マイラン」,dl
620338317,クロフィブラートカプセル２５０ｍｇ「ツルハラ」,dl
620339201,ベザフィブラートＳＲ錠２００ｍｇ「サワイ」,dl
