変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称
0,Y,620004480,11,グリコラン錠２５０ｍｇ,15,ｸﾞﾘｺﾗﾝｼﾞｮｳ250MG,16,1,錠,1,9.8,0,0,0,0,0,0,0,0,0,1,0,1,9.6,0,0,1,,20191001,99999999,3962002F1071,5408000,0,グリコラン錠２５０ｍｇ
0,Y,620004502,9,ジベトス錠５０ｍｇ,14,ｼﾞﾍﾞﾄｽｼﾞｮｳ50MG,16,1,錠,1,9.8,0,0,0,0,1,0,0,0,0,1,0,1,9.6,0,0,1,,20191001,99999999,3962001F1093,7159000,0,ジベトス錠５０ｍｇ
0,Y,620005570,20,メトホルミン塩酸塩錠２５０ｍｇ「トーワ」,20,ﾒﾄﾎﾙﾐﾝｴﾝｻﾝｴﾝｼﾞｮｳ250M,16,1,錠,1,9.8,0,0,0,0,1,0,0,0,0,1,0,1,9.6,0,0,1,,20191001,99999999,3962002F1080,16813000,0,メトホルミン塩酸塩錠２５０ｍｇ「トーワ」
0,Y,620005979,12,ジベトンＳ腸溶錠５０ｍｇ,20,ｼﾞﾍﾞﾄﾝSﾁｮｳﾖｳｼﾞｮｳ50MG,16,1,錠,1,9.8,0,0,0,0,1,0,0,0,0,1,0,1,9.6,0,0,1,,20191001,99999999,3962001F1107,7160000,0,ジベトンＳ腸溶錠５０ｍｇ
0,Y,621676001,19,メトホルミン塩酸塩錠２５０ｍｇ「ＳＮ」,20,ﾒﾄﾎﾙﾐﾝｴﾝｻﾝｴﾝｼﾞｮｳ250M,16,1,錠,1,9.8,0,0,0,0,1,0,0,0,0,1,0,1,9.6,0,0,1,,20191001,99999999,3962002F1110,16802000,0,メトホルミン塩酸塩錠２５０ｍｇ「ＳＮ」
0,Y,621974701,11,メトグルコ錠２５０ｍｇ,15,ﾒﾄｸﾞﾙｺｼﾞｮｳ250MG,16,1,錠,1,10.1,0,0,0,0,0,0,0,0,0,1,0,1,9.9,0,0,1,,20191001,99999999,3962002F2027,16767000,0,メトグルコ錠２５０ｍｇ
0,Y,622242501,11,メトグルコ錠５００ｍｇ,15,ﾒﾄｸﾞﾙｺｼﾞｮｳ500MG,16,1,錠,1,14.7,0,0,0,0,0,0,0,0,0,1,0,1,15.4,0,0,1,,20191001,99999999,3962002F3023,16768000,0,メトグルコ錠５００ｍｇ
0,Y,622412701,22,メトホルミン塩酸塩錠２５０ｍｇＭＴ「トーワ」,20,ﾒﾄﾎﾙﾐﾝｴﾝｻﾝｴﾝｼﾞｮｳ250M,16,1,錠,1,10.1,0,0,0,0,0,0,0,0,0,1,0,1,9.9,0,0,1,,20191001,99999999,3962002F2086,16808000,0,メトホルミン塩酸塩錠２５０ｍｇＭＴ「トーワ」
0,Y,622417101,24,メトホルミン塩酸塩錠２５０ｍｇＭＴ「ファイザー」,20,ﾒﾄﾎﾙﾐﾝｴﾝｻﾝｴﾝｼﾞｮｳ250M,16,1,錠,1,10.1,0,0,0,0,0,0,0,0,0,1,0,1,9.9,0,0,1,,20191001,99999999,3962002F2116,16811000,0,メトホルミン塩酸塩錠２５０ｍｇＭＴ「ファイザー」
0,Y,622417201,24,メトホルミン塩酸塩錠５００ｍｇＭＴ「ファイザー」,20,ﾒﾄﾎﾙﾐﾝｴﾝｻﾝｴﾝｼﾞｮｳ500M,16,1,錠,1,10.1,0,0,0,0,1,0,0,0,0,1,0,1,9.9,0,0,1,,20191001,99999999,3962002F3090,16822000,0,メトホルミン塩酸塩錠５００ｍｇＭＴ「ファイザー」
