変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称
0,Y,621986301,9,メタクト配合錠ＬＤ,15,ﾒﾀｸﾄﾊｲｺﾞｳｼﾞｮｳLD,16,1,錠,1,60.5,0,0,0,0,0,0,0,0,0,1,0,1,62.8,0,0,1,,20191001,99999999,3969100F1020,16699000,0,メタクト配合錠ＬＤ
0,Y,621986401,9,メタクト配合錠ＨＤ,15,ﾒﾀｸﾄﾊｲｺﾞｳｼﾞｮｳHD,16,1,錠,1,112.4,0,0,0,0,0,0,0,0,0,1,0,1,117.0,0,0,1,,20191001,99999999,3969100F2027,16698000,0,メタクト配合錠ＨＤ
0,Y,622048401,9,ソニアス配合錠ＬＤ,15,ｿﾆｱｽﾊｲｺﾞｳｼﾞｮｳLD,16,1,錠,1,60.5,0,0,0,0,0,0,0,0,0,1,0,1,62.8,0,0,1,,20191001,99999999,3969101F1025,8633000,0,ソニアス配合錠ＬＤ
0,Y,622048501,9,ソニアス配合錠ＨＤ,15,ｿﾆｱｽﾊｲｺﾞｳｼﾞｮｳHD,16,1,錠,1,111.9,0,0,0,0,0,0,0,0,0,1,0,1,117.0,0,0,1,,20191001,99999999,3969101F2021,8632000,0,ソニアス配合錠ＨＤ
0,Y,622053601,7,グルベス配合錠,15,ｸﾞﾙﾍﾞｽﾊｲｺﾞｳｼﾞｮｳ,16,1,錠,1,46.2,0,0,0,0,0,0,0,0,0,0,0,1,47.7,0,0,1,,20191001,99999999,3969102F1020,5590000,0,グルベス配合錠
0,Y,622086001,9,リオベル配合錠ＬＤ,16,ﾘｵﾍﾞﾙﾊｲｺﾞｳｼﾞｮｳLD,16,1,錠,1,178.2,0,0,0,0,0,0,0,0,0,0,0,1,184.1,0,0,1,,20191001,99999999,3969103F1024,17662000,0,リオベル配合錠ＬＤ
0,Y,622086101,9,リオベル配合錠ＨＤ,16,ﾘｵﾍﾞﾙﾊｲｺﾞｳｼﾞｮｳHD,16,1,錠,1,219.9,0,0,0,0,0,0,0,0,0,0,0,1,227.5,0,0,1,,20191001,99999999,3969103F2020,17661000,0,リオベル配合錠ＨＤ
0,Y,622450301,10,エクメット配合錠ＬＤ,16,ｴｸﾒｯﾄﾊｲｺﾞｳｼﾞｮｳLD,16,1,錠,1,73.5,0,0,0,0,0,0,0,0,0,0,0,1,77.6,0,0,1,,20191001,99999999,3969104F1029,2680000,0,エクメット配合錠ＬＤ
0,Y,622450401,10,エクメット配合錠ＨＤ,16,ｴｸﾒｯﾄﾊｲｺﾞｳｼﾞｮｳHD,16,1,錠,1,73.5,0,0,0,0,0,0,0,0,0,0,0,1,77.6,0,0,1,,20191001,99999999,3969104F2025,2679000,0,エクメット配合錠ＨＤ
0,Y,622517101,8,イニシンク配合錠,14,ｲﾆｼﾝｸﾊｲｺﾞｳｼﾞｮｳ,16,1,錠,1,162.5,0,0,0,0,0,0,0,0,0,0,0,1,166.4,0,0,1,,20191001,99999999,3969105F1023,2004000,0,イニシンク配合錠
0,Y,622573601,7,カナリア配合錠,13,ｶﾅﾘｱﾊｲｺﾞｳｼﾞｮｳ,16,1,錠,1,280.1,0,0,0,0,0,0,0,0,0,0,0,1,290.2,0,0,1,,20191001,99999999,3969106F1028,4225000,0,カナリア配合錠
0,Y,622625702,8,スージャヌ配合錠,15,ｽｰｼﾞｬﾇﾊｲｺﾞｳｼﾞｮｳ,16,1,錠,1,256.3,0,0,0,0,0,0,0,0,0,0,0,1,263.8,0,0,1,,20191001,99999999,3969107F1022,7721000,0,スージャヌ配合錠
0,Y,622654401,9,メトアナ配合錠ＨＤ,15,ﾒﾄｱﾅﾊｲｺﾞｳｼﾞｮｳHD,16,1,錠,1,62.2,0,0,0,0,0,0,0,0,0,0,0,1,62.2,0,0,1,,20191001,99999999,3969109F2028,16762000,0,メトアナ配合錠ＨＤ
0,Y,622654501,9,メトアナ配合錠ＬＤ,15,ﾒﾄｱﾅﾊｲｺﾞｳｼﾞｮｳLD,16,1,錠,1,62.2,0,0,0,0,0,0,0,0,0,0,0,1,62.2,0,0,1,,20191001,99999999,3969109F1021,16763000,0,メトアナ配合錠ＬＤ
0,Y,622655001,12,トラディアンス配合錠ＡＰ,19,ﾄﾗﾃﾞｨｱﾝｽﾊｲｺﾞｳｼﾞｮｳAP,16,1,錠,1,283.2,0,0,0,0,0,0,0,0,0,0,0,1,283.3,0,0,1,,20191001,99999999,3969108F1027,11180000,0,トラディアンス配合錠ＡＰ
0,Y,622655101,12,トラディアンス配合錠ＢＰ,19,ﾄﾗﾃﾞｨｱﾝｽﾊｲｺﾞｳｼﾞｮｳBP,16,1,錠,1,395.4,0,0,0,0,0,0,0,0,0,0,0,1,395.6,0,0,1,,20191001,99999999,3969108F2023,11181000,0,トラディアンス配合錠ＢＰ
