変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称
0,Y,621950901,10,ジャヌビア錠２５ｍｇ,15,ｼﾞｬﾇﾋﾞｱｼﾞｮｳ25MG,16,1,錠,1,69.0,0,0,0,0,0,0,0,0,0,0,0,1,69.9,0,0,1,,20191001,99999999,3969010F1034,7252000,0,ジャヌビア錠２５ｍｇ
0,Y,621951001,10,ジャヌビア錠５０ｍｇ,15,ｼﾞｬﾇﾋﾞｱｼﾞｮｳ50MG,16,1,錠,1,127.7,0,0,0,0,0,0,0,0,0,0,0,1,129.5,0,0,1,,20191001,99999999,3969010F2030,7253000,0,ジャヌビア錠５０ｍｇ
0,Y,621951101,11,ジャヌビア錠１００ｍｇ,16,ｼﾞｬﾇﾋﾞｱｼﾞｮｳ100MG,16,1,錠,1,190.5,0,0,0,0,0,0,0,0,0,0,0,1,193.5,0,0,1,,20191001,99999999,3969010F3037,7254000,0,ジャヌビア錠１００ｍｇ
0,Y,621970601,11,グラクティブ錠２５ｍｇ,16,ｸﾞﾗｸﾃｨﾌﾞｼﾞｮｳ25MG,16,1,錠,1,70.4,0,0,0,0,0,0,0,0,0,0,0,1,71.2,0,0,1,,20191001,99999999,3969010F1026,5222000,0,グラクティブ錠２５ｍｇ
0,Y,621970701,11,グラクティブ錠５０ｍｇ,16,ｸﾞﾗｸﾃｨﾌﾞｼﾞｮｳ50MG,16,1,錠,1,130.9,0,0,0,0,0,0,0,0,0,0,0,1,132.4,0,0,1,,20191001,99999999,3969010F2022,5223000,0,グラクティブ錠５０ｍｇ
0,Y,621970801,12,グラクティブ錠１００ｍｇ,17,ｸﾞﾗｸﾃｨﾌﾞｼﾞｮｳ100MG,16,1,錠,1,194.0,0,0,0,0,0,0,0,0,0,0,0,1,197.0,0,0,1,,20191001,99999999,3969010F3029,5224000,0,グラクティブ錠１００ｍｇ
0,Y,621980701,8,エクア錠５０ｍｇ,11,ｴｸｱｼﾞｮｳ50MG,16,1,錠,1,73.4,0,0,0,0,0,0,0,0,0,0,0,1,75.3,0,0,1,,20191001,99999999,3969011F1020,2663000,0,エクア錠５０ｍｇ
0,Y,621986001,11,ネシーナ錠６．２５ｍｇ,14,ﾈｼｰﾅｼﾞｮｳ6.25MG,16,1,錠,1,49.4,0,0,0,0,0,0,0,0,0,0,0,1,48.6,0,0,1,,20191001,99999999,3969012F1025,12108000,0,ネシーナ錠６．２５ｍｇ
0,Y,621986101,11,ネシーナ錠１２．５ｍｇ,14,ﾈｼｰﾅｼﾞｮｳ12.5MG,16,1,錠,1,91.2,0,0,0,0,0,0,0,0,0,0,0,1,89.8,0,0,1,,20191001,99999999,3969012F2021,12109000,0,ネシーナ錠１２．５ｍｇ
0,Y,621986201,9,ネシーナ錠２５ｍｇ,12,ﾈｼｰﾅｼﾞｮｳ25MG,16,1,錠,1,170.1,0,0,0,0,0,0,0,0,0,0,0,1,167.3,0,0,1,,20191001,99999999,3969012F3028,12110000,0,ネシーナ錠２５ｍｇ
