変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称
0,Y,610432026,10,スターシス錠３０ｍｇ,13,ｽﾀｰｼｽｼﾞｮｳ30MG,16,1,錠,1,15.4,0,0,0,0,0,0,0,0,0,1,0,1,16.0,0,0,1,,20191001,99999999,3969006F1020,7723000,0,スターシス錠３０ｍｇ
0,Y,610432027,10,スターシス錠９０ｍｇ,13,ｽﾀｰｼｽｼﾞｮｳ90MG,16,1,錠,1,38.7,0,0,0,0,0,0,0,0,0,1,0,1,40.1,0,0,1,,20191001,99999999,3969006F2026,7724000,0,スターシス錠９０ｍｇ
0,Y,610432032,15,ファスティック錠３０　３０ｍｇ,13,ﾌｧｽﾃｨｯｸｼﾞｮｳ30,16,1,錠,1,15.6,0,0,0,0,0,0,0,0,0,1,0,1,16.2,0,0,1,,20191001,99999999,3969006F1038,13858000,0,ファスティック錠３０
0,Y,610432033,15,ファスティック錠９０　９０ｍｇ,13,ﾌｧｽﾃｨｯｸｼﾞｮｳ90,16,1,錠,1,39.7,0,0,0,0,0,0,0,0,0,1,0,1,40.9,0,0,1,,20191001,99999999,3969006F2034,13859000,0,ファスティック錠９０
0,Y,620001907,10,グルファスト錠５ｍｇ,14,ｸﾞﾙﾌｧｽﾄｼﾞｮｳ5MG,16,1,錠,1,21.7,0,0,0,0,0,0,0,0,0,1,0,1,22.7,0,0,1,,20191001,99999999,3969008F1029,5587000,0,グルファスト錠５ｍｇ
0,Y,620001908,11,グルファスト錠１０ｍｇ,15,ｸﾞﾙﾌｧｽﾄｼﾞｮｳ10MG,16,1,錠,1,38.4,0,0,0,0,0,0,0,0,0,1,0,1,40.1,0,0,1,,20191001,99999999,3969008F2025,5588000,0,グルファスト錠１０ｍｇ
0,Y,622040901,13,シュアポスト錠０．２５ｍｇ,17,ｼｭｱﾎﾟｽﾄｼﾞｮｳ0.25MG,16,1,錠,1,34.0,0,0,0,0,0,0,0,0,0,0,0,1,33.4,0,0,1,,20191001,99999999,3969013F1020,7258000,0,シュアポスト錠０．２５ｍｇ
0,Y,622041001,12,シュアポスト錠０．５ｍｇ,16,ｼｭｱﾎﾟｽﾄｼﾞｮｳ0.5MG,16,1,錠,1,60.6,0,0,0,0,0,0,0,0,0,0,0,1,59.5,0,0,1,,20191001,99999999,3969013F2026,7259000,0,シュアポスト錠０．５ｍｇ
0,Y,622119301,17,ナテグリニド錠３０ｍｇ「マイラン」,20,ﾅﾃｸﾞﾘﾆﾄﾞｼﾞｮｳ30MGﾏｲﾗﾝ,16,1,錠,1,10.1,0,0,0,0,1,0,0,0,0,1,0,1,9.9,0,0,1,,20191001,99999999,3969006F1046,11580000,20200331,ナテグリニド錠３０ｍｇ「マイラン」
0,Y,622119401,17,ナテグリニド錠９０ｍｇ「マイラン」,20,ﾅﾃｸﾞﾘﾆﾄﾞｼﾞｮｳ90MGﾏｲﾗﾝ,16,1,錠,1,21.9,0,0,0,0,1,0,0,0,0,1,0,1,23.0,0,0,1,,20191001,99999999,3969006F2042,11583000,20200331,ナテグリニド錠９０ｍｇ「マイラン」
