変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称
0,Y,620000265,19,ノボリンＲ注フレックスペン　３００単位,17,ﾉﾎﾞﾘﾝRﾁｭｳﾌﾚｯｸｽﾍﾟﾝ,51,3,キット,1,1818.0,0,0,0,0,0,0,0,0,0,1,0,1,1855.0,0,0,4,,20191001,99999999,2492413G8053,23561000,0,ノボリンＲ注フレックスペン
0,Y,620000266,19,ノボリンＮ注フレックスペン　３００単位,17,ﾉﾎﾞﾘﾝNﾁｭｳﾌﾚｯｸｽﾍﾟﾝ,51,3,キット,1,1877.0,0,0,0,0,0,0,0,0,0,1,0,1,1902.0,0,0,4,,20191001,99999999,2492413G1059,23563000,0,ノボリンＮ注フレックスペン
0,Y,620000269,21,ノボリン３０Ｒ注フレックスペン　３００単位,19,ﾉﾎﾞﾘﾝ30Rﾁｭｳﾌﾚｯｸｽﾍﾟﾝ,51,3,キット,1,1885.0,0,0,0,0,0,0,0,0,0,1,0,1,1911.0,0,0,4,,20191001,99999999,2492413G5054,23557000,0,ノボリン３０Ｒ注フレックスペン
0,Y,620000448,27,ノボラピッド３０ミックス注　フレックスペン　３００単位,20,ﾉﾎﾞﾗﾋﾟｯﾄﾞ30ﾐｯｸｽﾁｭｳﾌﾚ,51,3,キット,1,1923.0,0,0,0,0,0,0,0,0,0,0,0,1,1948.0,0,0,4,,20191001,99999999,2492415G2020,23546000,0,ノボラピッド３０ミックス注　フレックスペン
0,Y,620002439,22,ヒューマログミックス２５注カート　３００単位,19,ﾋｭｰﾏﾛｸﾞﾐｯｸｽ25ﾁｭｳｶｰﾄ,47,1,筒,1,1223.0,0,0,0,0,0,0,0,0,0,0,0,1,1249.0,0,0,4,,20191001,99999999,2492414A3029,24035000,0,ヒューマログミックス２５注カート
0,Y,620002440,22,ヒューマログミックス５０注カート　３００単位,19,ﾋｭｰﾏﾛｸﾞﾐｯｸｽ50ﾁｭｳｶｰﾄ,47,1,筒,1,1211.0,0,0,0,0,0,0,0,0,0,0,0,1,1240.0,0,0,4,,20191001,99999999,2492414A4025,24037000,0,ヒューマログミックス５０注カート
0,Y,620007460,18,ヒューマログ注ミリオペン　３００単位,16,ﾋｭｰﾏﾛｸﾞﾁｭｳﾐﾘｵﾍﾟﾝ,51,3,キット,1,1425.0,0,0,0,0,0,0,0,0,0,0,0,1,1470.0,0,0,4,,20191001,99999999,2492414G5024,24033000,0,ヒューマログ注ミリオペン
0,Y,620007461,24,ヒューマログミックス２５注ミリオペン　３００単位,20,ﾋｭｰﾏﾛｸﾞﾐｯｸｽ25ﾁｭｳﾐﾘｵﾍ,51,3,キット,1,1457.0,0,0,0,0,0,0,0,0,0,0,0,1,1494.0,0,0,4,,20191001,99999999,2492414G6020,24036000,0,ヒューマログミックス２５注ミリオペン
0,Y,620007462,24,ヒューマログミックス５０注ミリオペン　３００単位,20,ﾋｭｰﾏﾛｸﾞﾐｯｸｽ50ﾁｭｳﾐﾘｵﾍ,51,3,キット,1,1440.0,0,0,0,0,0,0,0,0,0,0,0,1,1480.0,0,0,4,,20191001,99999999,2492414G7027,24038000,0,ヒューマログミックス５０注ミリオペン
0,Y,620007536,16,ランタス注ソロスター　３００単位,12,ﾗﾝﾀｽﾁｭｳｿﾛｽﾀｰ,51,3,キット,1,1864.0,0,0,0,0,0,0,0,0,0,1,0,1,1936.0,0,0,4,,20191001,99999999,2492416G2024,25481000,0,ランタス注ソロスター
0,Y,620008893,21,ノボラピッド注　フレックスペン　３００単位,20,ﾉﾎﾞﾗﾋﾟｯﾄﾞﾁｭｳﾌﾚｯｸｽﾍﾟﾝ,51,3,キット,1,1905.0,0,0,0,0,0,0,0,0,0,0,0,1,1925.0,0,0,4,,20191001,99999999,2492415G1031,23553000,0,ノボラピッド注　フレックスペン
0,Y,620008894,19,ノボラピッド注　ペンフィル　３００単位,18,ﾉﾎﾞﾗﾋﾟｯﾄﾞﾁｭｳﾍﾟﾝﾌｨﾙ,47,1,筒,1,1338.0,0,0,0,0,0,0,0,0,0,0,0,1,1359.0,0,0,4,,20191001,99999999,2492415A2035,23554000,0,ノボラピッド注　ペンフィル
0,Y,620008895,16,ノボラピッド注　１００単位／ｍＬ,20,ﾉﾎﾞﾗﾋﾟｯﾄﾞﾁｭｳ100ﾀﾝｲ/M,38,3,ｍＬＶ,1,334.0,0,0,0,0,0,0,0,0,0,0,0,1,340.0,0,0,4,,20191001,99999999,2492415A3031,23550000,0,ノボラピッド注　１００単位／ｍＬ
0,Y,620008896,25,ノボラピッド３０ミックス注　ペンフィル　３００単位,20,ﾉﾎﾞﾗﾋﾟｯﾄﾞ30ﾐｯｸｽﾁｭｳﾍﾟ,47,1,筒,1,1415.0,0,0,0,0,0,0,0,0,0,0,0,1,1430.0,0,0,4,,20191001,99999999,2492415A4038,23547000,0,ノボラピッド３０ミックス注　ペンフィル
0,Y,620008897,15,ノボリンＲ注　１００単位／ｍＬ,18,ﾉﾎﾞﾘﾝRﾁｭｳ100ﾀﾝｲ/ML,38,3,ｍＬＶ,1,314.0,0,0,0,0,0,0,0,0,0,1,0,1,319.0,0,0,4,,20191001,99999999,2492403A4043,23560000,0,ノボリンＲ注　１００単位／ｍＬ
0,Y,620008907,17,ヒューマリンＲ注カート　３００単位,13,ﾋｭｰﾏﾘﾝRﾁｭｳｶｰﾄ,47,1,筒,1,1166.0,0,0,0,0,0,0,0,0,0,1,0,1,1205.0,0,0,4,,20191001,99999999,2492403H4041,24022000,0,ヒューマリンＲ注カート
0,Y,620008909,16,ヒューマリンＲ注１００単位／ｍＬ,19,ﾋｭｰﾏﾘﾝRﾁｭｳ100ﾀﾝｲ/ML,38,3,ｍＬＶ,1,284.0,0,0,0,0,0,0,0,0,0,1,0,1,291.0,0,0,4,,20191001,99999999,2492403A4051,24021000,0,ヒューマリンＲ注１００単位／ｍＬ
0,Y,620008910,17,ヒューマリンＮ注カート　３００単位,13,ﾋｭｰﾏﾘﾝNﾁｭｳｶｰﾄ,47,1,筒,1,1190.0,0,0,0,0,0,0,0,0,0,1,0,1,1220.0,0,0,4,,20191001,99999999,2492403H5030,24026000,0,ヒューマリンＮ注カート
0,Y,620008912,16,ヒューマリンＮ注１００単位／ｍＬ,19,ﾋｭｰﾏﾘﾝNﾁｭｳ100ﾀﾝｲ/ML,38,3,ｍＬＶ,1,314.0,0,0,0,0,0,0,0,0,0,1,0,1,320.0,0,0,4,,20191001,99999999,2492403A3047,24025000,0,ヒューマリンＮ注１００単位／ｍＬ
0,Y,620008913,19,ヒューマリン３／７注カート　３００単位,15,ﾋｭｰﾏﾘﾝ3/7ﾁｭｳｶｰﾄ,47,1,筒,1,1193.0,0,0,0,0,0,0,0,0,0,1,0,1,1220.0,0,0,4,,20191001,99999999,2492403H6036,24018000,0,ヒューマリン３／７注カート
0,Y,620008915,18,ヒューマリン３／７注１００単位／ｍＬ,20,ﾋｭｰﾏﾘﾝ3/7ﾁｭｳ100ﾀﾝｲ/M,38,3,ｍＬＶ,1,328.0,0,0,0,0,0,0,0,0,0,1,0,1,330.0,0,0,4,,20191001,99999999,2492403H1034,24017000,0,ヒューマリン３／７注１００単位／ｍＬ
0,Y,620008916,15,ヒューマログ注１００単位／ｍＬ,19,ﾋｭｰﾏﾛｸﾞﾁｭｳ100ﾀﾝｲ/ML,38,3,ｍＬＶ,1,282.0,0,0,0,0,0,0,0,0,0,0,0,1,292.0,0,0,4,,20191001,99999999,2492414A2030,24031000,0,ヒューマログ注１００単位／ｍＬ
0,Y,620008943,14,ランタス注カート　３００単位,10,ﾗﾝﾀｽﾁｭｳｶｰﾄ,47,1,筒,1,1389.0,0,0,0,0,0,0,0,0,0,1,0,1,1431.0,0,0,4,,20191001,99999999,2492416A1033,25480000,0,ランタス注カート
0,Y,620008945,13,ランタス注１００単位／ｍＬ,16,ﾗﾝﾀｽﾁｭｳ100ﾀﾝｲ/ML,38,3,ｍＬＶ,1,358.0,0,0,0,0,0,0,0,0,0,1,0,1,364.0,0,0,4,,20191001,99999999,2492416A3036,25478000,0,ランタス注１００単位／ｍＬ
