変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称
0,Y,613960038,12,パミルコン錠１．２５ｍｇ,16,ﾊﾟﾐﾙｺﾝｼﾞｮｳ1.25MG,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,0,0,1,5.6,0,0,1,,20160401,99999999,3961003F1044,11353000,0,パミルコン錠１．２５ｍｇ
0,Y,613960039,11,パミルコン錠２．５ｍｇ,15,ﾊﾟﾐﾙｺﾝｼﾞｮｳ2.5MG,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,0,0,1,5.6,0,0,1,,20160401,99999999,3961003F2040,11354000,0,パミルコン錠２．５ｍｇ
0,Y,620000048,10,ジメリン錠５００ｍｇ,14,ｼﾞﾒﾘﾝｼﾞｮｳ500MG,16,1,錠,1,34.4,0,0,0,0,0,0,0,0,0,0,0,1,35.3,0,0,1,,20160401,99999999,3961001F2033,6419000,0,ジメリン錠５００ｍｇ
0,Y,620872004,20,グリベンクラミド錠２．５ｍｇ「タイヨー」,20,ｸﾞﾘﾍﾞﾝｸﾗﾐﾄﾞｼﾞｮｳ2.5MG,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,0,0,1,5.6,0,0,1,,20160401,99999999,3961003F2202,4709000,0,グリベンクラミド錠２．５ｍｇ「タイヨー」
0,Y,620873202,15,グリクラジド錠４０ｍｇ「ＫＮ」,19,ｸﾞﾘｸﾗｼﾞﾄﾞｼﾞｮｳ40MGKN,16,1,錠,1,7.6,0,0,0,0,1,0,0,0,0,0,0,1,8.0,0,0,1,,20160401,99999999,3961007F1220,4681000,0,グリクラジド錠４０ｍｇ「ＫＮ」
0,Y,621997001,15,グリメピリド錠１ｍｇ「ＢＭＤ」,19,ｸﾞﾘﾒﾋﾟﾘﾄﾞｼﾞｮｳ1MGBMD,16,1,錠,1,9.9,0,0,0,0,1,0,0,0,0,1,0,1,9.9,0,0,1,,20160401,99999999,3961008F1055,4800000,0,グリメピリド錠１ｍｇ「ＢＭＤ」
0,Y,621997101,15,グリメピリド錠３ｍｇ「ＢＭＤ」,19,ｸﾞﾘﾒﾋﾟﾘﾄﾞｼﾞｮｳ3MGBMD,16,1,錠,1,17.0,0,0,0,0,1,0,0,0,0,1,0,1,20.7,0,0,1,,20160401,99999999,3961008F2051,4832000,0,グリメピリド錠３ｍｇ「ＢＭＤ」
0,Y,622058801,16,グリメピリド錠１ｍｇ「タイヨー」,20,ｸﾞﾘﾒﾋﾟﾘﾄﾞｼﾞｮｳ1MGﾀｲﾖｰ,16,1,錠,1,9.9,0,0,0,0,1,0,0,0,0,1,0,1,9.9,0,0,1,,20160401,99999999,3961008F1306,4792000,0,グリメピリド錠１ｍｇ「タイヨー」
0,Y,622058901,16,グリメピリド錠３ｍｇ「タイヨー」,20,ｸﾞﾘﾒﾋﾟﾘﾄﾞｼﾞｮｳ3MGﾀｲﾖｰ,16,1,錠,1,17.0,0,0,0,0,1,0,0,0,0,1,0,1,20.7,0,0,1,,20160401,99999999,3961008F2302,4824000,0,グリメピリド錠３ｍｇ「タイヨー」
0,Y,622103201,21,グリベンクラミド錠１．２５ｍｇ「タイヨー」,20,ｸﾞﾘﾍﾞﾝｸﾗﾐﾄﾞｼﾞｮｳ1.25M,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,0,0,1,5.6,0,0,1,,20160401,99999999,3961003F1141,4701000,0,グリベンクラミド錠１．２５ｍｇ「タイヨー」
0,Y,622141302,15,グリクラジド錠２０ｍｇ「ＫＮ」,19,ｸﾞﾘｸﾗｼﾞﾄﾞｼﾞｮｳ20MGKN,16,1,錠,1,7.3,0,0,0,0,1,0,0,0,0,0,0,1,7.8,0,0,1,,20160401,99999999,3961007F2111,4676000,0,グリクラジド錠２０ｍｇ「ＫＮ」
0,Y,622190801,17,グリメピリド錠０．５ｍｇ「ＢＭＤ」,20,ｸﾞﾘﾒﾋﾟﾘﾄﾞｼﾞｮｳ0.5MGBM,16,1,錠,1,9.6,0,0,0,0,1,0,0,0,0,1,0,1,9.6,0,0,1,,20160401,99999999,3961008F3163,4768000,0,グリメピリド錠０．５ｍｇ「ＢＭＤ」
