変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称
0,Y,610432040,12,アクトス錠１５　１５ｍｇ,10,ｱｸﾄｽｼﾞｮｳ15,16,1,錠,1,60.6,0,0,0,0,0,0,0,0,0,1,0,1,62.8,0,0,1,,20191001,99999999,3969007F1024,233000,0,アクトス錠１５
0,Y,610432041,12,アクトス錠３０　３０ｍｇ,10,ｱｸﾄｽｼﾞｮｳ30,16,1,錠,1,112.7,0,0,0,0,0,0,0,0,0,1,0,1,117.0,0,0,1,,20191001,99999999,3969007F2020,234000,0,アクトス錠３０
0,Y,621990901,14,アクトスＯＤ錠１５　１５ｍｇ,12,ｱｸﾄｽODｼﾞｮｳ15,16,1,錠,1,60.6,0,0,0,0,0,0,0,0,0,0,0,1,62.8,0,0,1,,20191001,99999999,3969007F3027,231000,0,アクトスＯＤ錠１５
0,Y,621991001,14,アクトスＯＤ錠３０　３０ｍｇ,12,ｱｸﾄｽODｼﾞｮｳ30,16,1,錠,1,112.7,0,0,0,0,0,0,0,0,0,0,0,1,117.0,0,0,1,,20191001,99999999,3969007F4023,232000,0,アクトスＯＤ錠３０
0,Y,622041202,18,ピオグリタゾン錠１５ｍｇ「ＭＥＥＫ」,20,ﾋﾟｵｸﾞﾘﾀｿﾞﾝｼﾞｮｳ15MGME,16,1,錠,1,21.0,0,0,0,0,1,0,0,0,0,1,0,1,24.0,0,0,1,,20191001,99999999,3969007F1059,13275000,0,ピオグリタゾン錠１５ｍｇ「ＭＥＥＫ」
0,Y,622041302,18,ピオグリタゾン錠３０ｍｇ「ＭＥＥＫ」,20,ﾋﾟｵｸﾞﾘﾀｿﾞﾝｼﾞｮｳ30MGME,16,1,錠,1,40.6,0,0,0,0,1,0,0,0,0,1,0,1,47.1,0,0,1,,20191001,99999999,3969007F2055,13304000,0,ピオグリタゾン錠３０ｍｇ「ＭＥＥＫ」
0,Y,622041402,20,ピオグリタゾンＯＤ錠１５ｍｇ「ＭＥＥＫ」,20,ﾋﾟｵｸﾞﾘﾀｿﾞﾝODｼﾞｮｳ15MG,16,1,錠,1,21.0,0,0,0,0,1,0,0,0,0,0,0,1,24.0,0,0,1,,20191001,99999999,3969007F3051,13245000,0,ピオグリタゾンＯＤ錠１５ｍｇ「ＭＥＥＫ」
0,Y,622041502,20,ピオグリタゾンＯＤ錠３０ｍｇ「ＭＥＥＫ」,20,ﾋﾟｵｸﾞﾘﾀｿﾞﾝODｼﾞｮｳ30MG,16,1,錠,1,40.6,0,0,0,0,1,0,0,0,0,0,0,1,47.1,0,0,1,,20191001,99999999,3969007F4058,13259000,0,ピオグリタゾンＯＤ錠３０ｍｇ「ＭＥＥＫ」
0,Y,622042901,16,ピオグリタゾン錠１５ｍｇ「ＥＥ」,20,ﾋﾟｵｸﾞﾘﾀｿﾞﾝｼﾞｮｳ15MGEE,16,1,錠,1,21.0,0,0,0,0,1,0,0,0,0,1,0,1,24.0,0,0,1,,20191001,99999999,3969007F1210,13270000,0,ピオグリタゾン錠１５ｍｇ「ＥＥ」
0,Y,622043001,16,ピオグリタゾン錠３０ｍｇ「ＥＥ」,20,ﾋﾟｵｸﾞﾘﾀｿﾞﾝｼﾞｮｳ30MGEE,16,1,錠,1,40.6,0,0,0,0,1,0,0,0,0,1,0,1,47.1,0,0,1,,20191001,99999999,3969007F2217,13299000,0,ピオグリタゾン錠３０ｍｇ「ＥＥ」
0,Y,622045201,17,ピオグリタゾン錠１５ｍｇ「タカタ」,20,ﾋﾟｵｸﾞﾘﾀｿﾞﾝｼﾞｮｳ15MGﾀｶ,16,1,錠,1,21.0,0,0,0,0,1,0,0,0,0,1,0,1,24.0,0,0,1,,20191001,99999999,3969007F1164,13287000,0,ピオグリタゾン錠１５ｍｇ「タカタ」
0,Y,622045301,17,ピオグリタゾン錠３０ｍｇ「タカタ」,20,ﾋﾟｵｸﾞﾘﾀｿﾞﾝｼﾞｮｳ30MGﾀｶ,16,1,錠,1,40.6,0,0,0,0,1,0,0,0,0,1,0,1,47.1,0,0,1,,20191001,99999999,3969007F2160,13316000,0,ピオグリタゾン錠３０ｍｇ「タカタ」
0,Y,622045401,19,ピオグリタゾンＯＤ錠１５ｍｇ「タカタ」,20,ﾋﾟｵｸﾞﾘﾀｿﾞﾝODｼﾞｮｳ15MG,16,1,錠,1,21.0,0,0,0,0,1,0,0,0,0,0,0,1,24.0,0,0,1,,20191001,99999999,3969007F3078,13248000,0,ピオグリタゾンＯＤ錠１５ｍｇ「タカタ」
0,Y,622045501,19,ピオグリタゾンＯＤ錠３０ｍｇ「タカタ」,20,ﾋﾟｵｸﾞﾘﾀｿﾞﾝODｼﾞｮｳ30MG,16,1,錠,1,40.6,0,0,0,0,1,0,0,0,0,0,0,1,47.1,0,0,1,,20191001,99999999,3969007F4074,13262000,0,ピオグリタゾンＯＤ錠３０ｍｇ「タカタ」
0,Y,622046801,18,ピオグリタゾン錠１５ｍｇ「オーハラ」,20,ﾋﾟｵｸﾞﾘﾀｿﾞﾝｼﾞｮｳ15MGｵｰ,16,1,錠,1,21.0,0,0,0,0,1,0,0,0,0,1,0,1,24.0,0,0,1,,20191001,99999999,3969007F1113,13276000,0,ピオグリタゾン錠１５ｍｇ「オーハラ」
