変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称
0,Y,620004045,12,ベグリラート錠０．２ｍｇ,17,ﾍﾞｸﾞﾘﾗｰﾄｼﾞｮｳ0.2MG,16,1,錠,1,14.5,0,0,0,0,1,0,0,0,0,1,0,1,16.6,0,0,1,,20160401,99999999,3969004F1179,13510000,0,ベグリラート錠０．２ｍｇ
0,Y,620004046,12,ベグリラート錠０．３ｍｇ,17,ﾍﾞｸﾞﾘﾗｰﾄｼﾞｮｳ0.3MG,16,1,錠,1,20.1,0,0,0,0,1,0,0,0,0,1,0,1,23.5,0,0,1,,20160401,99999999,3969004F2175,13511000,0,ベグリラート錠０．３ｍｇ
0,Y,620008727,17,ボグリボース錠０．２ｍｇ「ＭＥＤ」,20,ﾎﾞｸﾞﾘﾎﾞｰｽｼﾞｮｳ0.2MGME,16,1,錠,1,18.4,0,0,0,0,1,0,0,0,0,1,0,1,20.3,0,0,1,,20160401,99999999,3969004F1217,13948000,0,ボグリボース錠０．２ｍｇ「ＭＥＤ」
0,Y,620008729,17,ボグリボース錠０．３ｍｇ「ＭＥＤ」,20,ﾎﾞｸﾞﾘﾎﾞｰｽｼﾞｮｳ0.3MGME,16,1,錠,1,26.0,0,0,0,0,1,0,0,0,0,1,0,1,28.8,0,0,1,,20160401,99999999,3969004F2213,13966000,0,ボグリボース錠０．３ｍｇ「ＭＥＤ」
0,Y,621953301,14,ベグリラートＯＤ錠０．２ｍｇ,19,ﾍﾞｸﾞﾘﾗｰﾄODｼﾞｮｳ0.2MG,16,1,錠,1,14.5,0,0,0,0,1,0,0,0,0,0,0,1,16.6,0,0,1,,20160401,99999999,3969004F3120,13508000,0,ベグリラートＯＤ錠０．２ｍｇ
0,Y,621953401,14,ベグリラートＯＤ錠０．３ｍｇ,19,ﾍﾞｸﾞﾘﾗｰﾄODｼﾞｮｳ0.3MG,16,1,錠,1,20.1,0,0,0,0,1,0,0,0,0,0,0,1,23.5,0,0,1,,20160401,99999999,3969004F4127,13509000,0,ベグリラートＯＤ錠０．３ｍｇ
0,Y,610406390,14,ベイスン錠０．２　０．２ｍｇ,12,ﾍﾞｲｽﾝｼﾞｮｳ0.2,16,1,錠,1,30.4,0,0,0,0,0,0,0,0,0,1,0,1,31.5,0,0,1,,20191001,99999999,3969004F1020,15032000,0,ベイスン錠０．２
0,Y,610406391,14,ベイスン錠０．３　０．３ｍｇ,12,ﾍﾞｲｽﾝｼﾞｮｳ0.3,16,1,錠,1,40.9,0,0,0,0,0,0,0,0,0,1,0,1,42.7,0,0,1,,20191001,99999999,3969004F2027,15033000,0,ベイスン錠０．３
0,Y,613960081,10,グルコバイ錠５０ｍｇ,15,ｸﾞﾙｺﾊﾞｲｼﾞｮｳ50MG,16,1,錠,1,18.0,0,0,0,0,0,0,0,0,0,0,0,1,18.6,0,0,1,,20191001,99999999,3969003F1026,5574000,0,グルコバイ錠５０ｍｇ
0,Y,613960082,11,グルコバイ錠１００ｍｇ,16,ｸﾞﾙｺﾊﾞｲｼﾞｮｳ100MG,16,1,錠,1,31.8,0,0,0,0,0,0,0,0,0,0,0,1,32.7,0,0,1,,20191001,99999999,3969003F2022,5575000,0,グルコバイ錠１００ｍｇ
