変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称,薬価基準収載7桁
0,Y,610407142,7,コナン錠５ｍｇ,10,ｺﾅﾝｼﾞｮｳ5MG,16,1,錠,1,35.0,0,0,0,0,0,0,0,0,0,1,0,1,36.6,0,0,1,,20121001,99999999,2144010F1029,5010000,0,コナン錠５ｍｇ,2144010
0,Y,610407143,8,コナン錠１０ｍｇ,11,ｺﾅﾝｼﾞｮｳ10MG,16,1,錠,1,54.6,0,0,0,0,0,0,0,0,0,1,0,1,57.3,0,0,1,,20121001,99999999,2144010F2025,5011000,0,コナン錠１０ｍｇ,2144010
0,Y,610407144,8,コナン錠２０ｍｇ,11,ｺﾅﾝｼﾞｮｳ20MG,16,1,錠,1,111.5,0,0,0,0,0,0,0,0,0,1,0,1,117.0,0,0,1,,20121001,99999999,2144010F3021,5012000,0,コナン錠２０ｍｇ,2144010
0,Y,610409327,11,オドリック錠０．５ｍｇ,15,ｵﾄﾞﾘｯｸｼﾞｮｳ0.5MG,16,1,錠,1,37.6,0,0,0,0,0,0,0,0,0,0,0,1,39.8,0,0,1,,20120401,99999999,2144011F1023,2910000,0,オドリック錠０．５ｍｇ,2144011
0,Y,610409328,9,オドリック錠１ｍｇ,13,ｵﾄﾞﾘｯｸｼﾞｮｳ1MG,16,1,錠,1,67.5,0,0,0,0,0,0,0,0,0,0,0,1,71.9,0,0,1,,20120401,99999999,2144011F2020,2911000,0,オドリック錠１ｍｇ,2144011
0,Y,610409331,10,プレラン０．５ｍｇ錠,14,ﾌﾟﾚﾗﾝ0.5MGｼﾞｮｳ,16,1,錠,1,37.6,0,0,0,0,0,0,0,0,0,0,0,1,39.8,0,0,1,,20120401,99999999,2144011F1031,12051000,0,プレラン０．５ｍｇ錠,2144011
0,Y,610409332,8,プレラン１ｍｇ錠,12,ﾌﾟﾚﾗﾝ1MGｼﾞｮｳ,16,1,錠,1,67.5,0,0,0,0,0,0,0,0,0,0,0,1,71.9,0,0,1,,20120401,99999999,2144011F2038,12052000,0,プレラン１ｍｇ錠,2144011
0,Y,610412013,18,アポプリール錠１２．５　１２．５ｍｇ,16,ｱﾎﾟﾌﾟﾘｰﾙｼﾞｮｳ12.5,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,0,0,1,5.6,0,0,1,,20131213,99999999,2144001F1038,748000,20140331,アポプリール錠１２．５,2144001
0,Y,610412014,14,アポプリール錠２５　２５ｍｇ,14,ｱﾎﾟﾌﾟﾘｰﾙｼﾞｮｳ25,16,1,錠,1,5.8,0,0,0,0,1,0,0,0,0,8,610461108,1,6.4,0,0,1,,20120401,99999999,2144001F2018,749000,0,アポプリール錠２５,2144001
0,Y,610412035,13,カトナプロン錠１２．５ｍｇ,17,ｶﾄﾅﾌﾟﾛﾝｼﾞｮｳ12.5MG,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,0,0,1,5.6,0,0,1,,20120401,99999999,2144001F1054,3195000,0,カトナプロン錠１２．５ｍｇ,2144001
0,Y,610412036,11,カトナプロン錠２５ｍｇ,15,ｶﾄﾅﾌﾟﾛﾝｼﾞｮｳ25MG,16,1,錠,1,5.8,0,0,0,0,1,0,0,0,0,8,610461108,1,6.4,0,0,1,,20120401,99999999,2144001F2018,3196000,0,カトナプロン錠２５ｍｇ,2144001
0,Y,610412039,12,カプシール錠１２．５ｍｇ,16,ｶﾌﾟｼｰﾙｼﾞｮｳ12.5MG,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,0,0,1,5.6,0,0,1,,20120401,99999999,2144001F1070,3312000,0,カプシール錠１２．５ｍｇ,2144001
0,Y,610412040,10,カプシール錠２５ｍｇ,14,ｶﾌﾟｼｰﾙｼﾞｮｳ25MG,16,1,錠,1,5.8,0,0,0,0,1,0,0,0,0,8,610461108,1,6.4,0,0,1,,20120401,99999999,2144001F2018,3313000,0,カプシール錠２５ｍｇ,2144001
0,Y,610412044,12,カプトルナ錠１２．５ｍｇ,16,ｶﾌﾟﾄﾙﾅｼﾞｮｳ12.5MG,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,0,0,1,5.6,0,0,1,,20120401,99999999,2144001F1119,3337000,0,カプトルナ錠１２．５ｍｇ,2144001
0,Y,610412045,10,カプトルナ錠２５ｍｇ,14,ｶﾌﾟﾄﾙﾅｼﾞｮｳ25MG,16,1,錠,1,5.8,0,0,0,0,1,0,0,0,0,8,610461108,1,6.4,0,0,1,,20120401,99999999,2144001F2018,3338000,0,カプトルナ錠２５ｍｇ,2144001
0,Y,610412110,17,ダウプリル錠１２．５　１２．５ｍｇ,15,ﾀﾞｳﾌﾟﾘﾙｼﾞｮｳ12.5,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,0,0,1,5.6,0,0,1,,20120401,99999999,2144001F1178,7448000,0,ダウプリル錠１２．５,2144001
0,Y,610412111,13,ダウプリル錠２５　２５ｍｇ,13,ﾀﾞｳﾌﾟﾘﾙｼﾞｮｳ25,16,1,錠,1,5.8,0,0,0,0,1,0,0,0,0,8,610461108,1,6.4,0,0,1,,20120401,99999999,2144001F2018,7449000,0,ダウプリル錠２５,2144001
0,Y,610421318,8,コバシル錠２ｍｇ,12,ｺﾊﾞｼﾙｼﾞｮｳ2MG,16,1,錠,1,73.8,0,0,0,0,0,0,0,0,0,0,0,1,79.4,0,0,1,,20120401,99999999,2144012F1028,5022000,0,コバシル錠２ｍｇ,2144012
