変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称,薬価基準収載7桁
0,Y,610407005,11,デタントールＲ錠３ｍｇ,15,ﾃﾞﾀﾝﾄｰﾙRｼﾞｮｳ3MG,16,1,錠,1,48.2,0,0,0,0,0,0,0,0,0,0,0,1,50.6,0,0,1,,20120401,99999999,2149015G1023,8548000,0,デタントールＲ錠３ｍｇ,2149015
0,Y,610407006,11,デタントールＲ錠６ｍｇ,15,ﾃﾞﾀﾝﾄｰﾙRｼﾞｮｳ6MG,16,1,錠,1,92.7,0,0,0,0,0,0,0,0,0,0,0,1,96.5,0,0,1,,20120401,99999999,2149015G2020,8549000,0,デタントールＲ錠６ｍｇ,2149015
0,Y,612140233,11,ミニプレス錠０．５ｍｇ,15,ﾐﾆﾌﾟﾚｽｼﾞｮｳ0.5MG,16,1,錠,1,7.6,0,0,0,0,0,0,0,0,0,0,0,1,8.1,0,0,1,,20120401,99999999,2149002F1128,13545000,0,ミニプレス錠０．５ｍｇ,2149002
0,Y,612140234,9,ミニプレス錠１ｍｇ,13,ﾐﾆﾌﾟﾚｽｼﾞｮｳ1MG,16,1,錠,1,13.8,0,0,0,0,0,0,0,0,0,0,0,1,14.5,0,0,1,,20120401,99999999,2149002F2159,13546000,0,ミニプレス錠１ｍｇ,2149002
0,Y,612140435,12,デタントール錠０．５ｍｇ,16,ﾃﾞﾀﾝﾄｰﾙｼﾞｮｳ0.5MG,16,1,錠,1,14.0,0,0,0,0,0,0,0,0,0,0,0,1,14.5,0,0,1,,20120401,99999999,2149015F1028,8551000,0,デタントール錠０．５ｍｇ,2149015
0,Y,612140436,10,デタントール錠１ｍｇ,14,ﾃﾞﾀﾝﾄｰﾙｼﾞｮｳ1MG,16,1,錠,1,25.0,0,0,0,0,0,0,0,0,0,0,0,1,26.0,0,0,1,,20120401,99999999,2149015F2024,8552000,0,デタントール錠１ｍｇ,2149015
0,Y,612140497,13,ハイトラシン錠０．２５ｍｇ,16,ﾊｲﾄﾗｼﾝｼﾞｮｳ0.25MG,16,1,錠,1,11.8,0,0,0,0,0,0,0,0,0,0,0,1,12.3,0,0,1,,20120401,99999999,2149023F1022,10111000,0,ハイトラシン錠０．２５ｍｇ,2149023
0,Y,612140498,12,ハイトラシン錠０．５ｍｇ,15,ﾊｲﾄﾗｼﾝｼﾞｮｳ0.5MG,16,1,錠,1,19.8,0,0,0,0,0,0,0,0,0,0,0,1,20.7,0,0,1,,20120401,99999999,2149023F2029,10112000,0,ハイトラシン錠０．５ｍｇ,2149023
0,Y,612140499,10,ハイトラシン錠１ｍｇ,13,ﾊｲﾄﾗｼﾝｼﾞｮｳ1MG,16,1,錠,1,35.7,0,0,0,0,0,0,0,0,0,0,0,1,37.2,0,0,1,,20120401,99999999,2149023F3025,10113000,0,ハイトラシン錠１ｍｇ,2149023
0,Y,612140500,10,ハイトラシン錠２ｍｇ,13,ﾊｲﾄﾗｼﾝｼﾞｮｳ2MG,16,1,錠,1,72.1,0,0,0,0,0,0,0,0,0,0,0,1,75.7,0,0,1,,20120401,99999999,2149023F4021,10114000,0,ハイトラシン錠２ｍｇ,2149023
0,Y,612140501,12,バソメット錠０．２５ｍｇ,16,ﾊﾞｿﾒｯﾄｼﾞｮｳ0.25MG,16,1,錠,1,11.8,0,0,0,0,0,0,0,0,0,0,0,1,12.3,0,0,1,,20120401,99999999,2149023F1030,10236000,0,バソメット錠０．２５ｍｇ,2149023
0,Y,612140502,11,バソメット錠０．５ｍｇ,15,ﾊﾞｿﾒｯﾄｼﾞｮｳ0.5MG,16,1,錠,1,19.8,0,0,0,0,0,0,0,0,0,0,0,1,20.7,0,0,1,,20120401,99999999,2149023F2037,10237000,0,バソメット錠０．５ｍｇ,2149023
0,Y,612140503,9,バソメット錠１ｍｇ,13,ﾊﾞｿﾒｯﾄｼﾞｮｳ1MG,16,1,錠,1,35.7,0,0,0,0,0,0,0,0,0,0,0,1,37.2,0,0,1,,20120401,99999999,2149023F3033,10238000,0,バソメット錠１ｍｇ,2149023
0,Y,612140504,9,バソメット錠２ｍｇ,13,ﾊﾞｿﾒｯﾄｼﾞｮｳ2MG,16,1,錠,1,72.1,0,0,0,0,0,0,0,0,0,0,0,1,75.7,0,0,1,,20120401,99999999,2149023F4030,10239000,0,バソメット錠２ｍｇ,2149023
0,Y,612140516,12,カルデナリン錠０．５ｍｇ,16,ｶﾙﾃﾞﾅﾘﾝｼﾞｮｳ0.5MG,16,1,錠,1,20.3,0,0,0,0,0,0,0,0,0,1,0,1,21.8,0,0,1,,20120401,99999999,2149026F1026,3460000,0,カルデナリン錠０．５ｍｇ,2149026
0,Y,612140517,10,カルデナリン錠１ｍｇ,14,ｶﾙﾃﾞﾅﾘﾝｼﾞｮｳ1MG,16,1,錠,1,32.9,0,0,0,0,0,0,0,0,0,1,0,1,35.5,0,0,1,,20120401,99999999,2149026F2022,3461000,0,カルデナリン錠１ｍｇ,2149026
