変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称,薬価基準収載7桁
0,Y,610432011,11,ブロプレス錠２　２ｍｇ,12,ﾌﾞﾛﾌﾟﾚｽｼﾞｮｳ2,16,1,錠,1,38.8,0,0,0,0,0,0,0,0,0,1,0,1,41.5,0,0,1,,20120401,99999999,2149040F1026,12203000,0,ブロプレス錠２,2149040
0,Y,610432012,11,ブロプレス錠４　４ｍｇ,12,ﾌﾞﾛﾌﾟﾚｽｼﾞｮｳ4,16,1,錠,1,72.3,0,0,0,0,0,0,0,0,0,1,0,1,77.3,0,0,1,,20120401,99999999,2149040F2022,12204000,0,ブロプレス錠４,2149040
0,Y,610432013,11,ブロプレス錠８　８ｍｇ,12,ﾌﾞﾛﾌﾟﾚｽｼﾞｮｳ8,16,1,錠,1,140.4,0,0,0,0,0,0,0,0,0,1,0,1,150.3,0,0,1,,20120401,99999999,2149040F3029,12205000,0,ブロプレス錠８,2149040
0,Y,610432014,13,ブロプレス錠１２　１２ｍｇ,13,ﾌﾞﾛﾌﾟﾚｽｼﾞｮｳ12,16,1,錠,1,216.2,0,0,0,0,0,0,0,0,0,1,0,1,231.9,0,0,1,,20120401,99999999,2149040F4025,12206000,0,ブロプレス錠１２,2149040
0,Y,610443042,10,ディオバン錠２０ｍｇ,15,ﾃﾞｨｵﾊﾞﾝｼﾞｮｳ20MG,16,1,錠,1,33.8,0,0,0,0,0,0,0,0,0,0,0,1,36.6,0,0,1,,20120401,99999999,2149041F1020,8400000,0,ディオバン錠２０ｍｇ,2149041
0,Y,610443043,10,ディオバン錠４０ｍｇ,15,ﾃﾞｨｵﾊﾞﾝｼﾞｮｳ40MG,16,1,錠,1,61.4,0,0,0,0,0,0,0,0,0,0,0,1,66.8,0,0,1,,20120401,99999999,2149041F2027,8401000,0,ディオバン錠４０ｍｇ,2149041
0,Y,610443044,10,ディオバン錠８０ｍｇ,15,ﾃﾞｨｵﾊﾞﾝｼﾞｮｳ80MG,16,1,錠,1,114.8,0,0,0,0,0,0,0,0,0,0,0,1,125.3,0,0,1,,20120401,99999999,2149041F3023,8402000,0,ディオバン錠８０ｍｇ,2149041
0,Y,620001905,11,オルメテック錠１０ｍｇ,14,ｵﾙﾒﾃｯｸｼﾞｮｳ10MG,16,1,錠,1,68.2,0,0,0,0,0,0,0,0,0,0,0,1,74.0,0,0,1,,20120401,99999999,2149044F1024,3007000,0,オルメテック錠１０ｍｇ,2149044
0,Y,620001906,11,オルメテック錠２０ｍｇ,14,ｵﾙﾒﾃｯｸｼﾞｮｳ20MG,16,1,錠,1,130.4,0,0,0,0,0,0,0,0,0,0,0,1,142.0,0,0,1,,20120401,99999999,2149044F2020,3008000,0,オルメテック錠２０ｍｇ,2149044
0,Y,620002422,11,ディオバン錠１６０ｍｇ,16,ﾃﾞｨｵﾊﾞﾝｼﾞｮｳ160MG,16,1,錠,1,223.7,0,0,0,0,0,0,0,0,0,0,0,1,243.8,0,0,1,,20120401,99999999,2149041F4020,8403000,0,ディオバン錠１６０ｍｇ,2149041
