変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称,薬価基準収載7桁
0,Y,610406053,13,エマベリンＬカプセル５ｍｇ,15,ｴﾏﾍﾞﾘﾝLｶﾌﾟｾﾙ5MG,15,4,カプセル,1,13.3,0,0,0,0,1,0,0,0,0,0,0,1,14.0,0,0,1,,20120401,99999999,2171014N4028,2390000,0,エマベリンＬカプセル５ｍｇ,2171014
0,Y,610406284,14,ヘルラートＬ錠１０　１０ｍｇ,12,ﾍﾙﾗｰﾄLｼﾞｮｳ10,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,0,0,1,5.8,0,0,1,,20120401,99999999,2171014G1151,12615000,0,ヘルラートＬ錠１０,2171014
0,Y,610407003,13,スプレンジール錠２．５ｍｇ,18,ｽﾌﾟﾚﾝｼﾞｰﾙｼﾞｮｳ2.5MG,16,1,錠,1,19.9,0,0,0,0,0,0,0,0,0,0,0,1,20.9,0,0,1,,20120401,99999999,2149035F1025,6498000,0,スプレンジール錠２．５ｍｇ,2149035
0,Y,610407004,11,スプレンジール錠５ｍｇ,16,ｽﾌﾟﾚﾝｼﾞｰﾙｼﾞｮｳ5MG,16,1,錠,1,33.9,0,0,0,0,0,0,0,0,0,0,0,1,35.9,0,0,1,,20120401,99999999,2149035F2021,6499000,0,スプレンジール錠５ｍｇ,2149035
0,Y,610407010,11,ムノバール２．５ｍｇ錠,15,ﾑﾉﾊﾞｰﾙ2.5MGｼﾞｮｳ,16,1,錠,1,19.9,0,0,0,0,0,0,0,0,0,0,0,1,20.9,0,0,1,,20120401,99999999,2149035F1033,13697000,0,ムノバール２．５ｍｇ錠,2149035
0,Y,610407011,9,ムノバール５ｍｇ錠,13,ﾑﾉﾊﾞｰﾙ5MGｼﾞｮｳ,16,1,錠,1,33.9,0,0,0,0,0,0,0,0,0,0,0,1,35.9,0,0,1,,20120401,99999999,2149035F2030,13698000,0,ムノバール５ｍｇ錠,2149035
0,Y,610407115,14,ミオカルジー錠６０　６０ｍｇ,13,ﾐｵｶﾙｼﾞｰｼﾞｮｳ60,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,0,0,1,5.6,0,0,1,,20120401,99999999,2171006F2050,13468000,0,ミオカルジー錠６０,2171006
0,Y,610407147,11,アテレック錠５　５ｍｇ,10,ｱﾃﾚｯｸｼﾞｮｳ5,16,1,錠,1,33.9,0,0,0,0,0,0,0,0,0,0,0,1,36.6,0,0,1,,20120401,99999999,2149037F1032,596000,0,アテレック錠５,2149037
0,Y,610407148,13,アテレック錠１０　１０ｍｇ,11,ｱﾃﾚｯｸｼﾞｮｳ10,16,1,錠,1,61.2,0,0,0,0,0,0,0,0,0,0,0,1,66.6,0,0,1,,20120401,99999999,2149037F2039,597000,0,アテレック錠１０,2149037
0,Y,610412080,15,シオペルミンＬ錠１０　１０ｍｇ,14,ｼｵﾍﾟﾙﾐﾝLｼﾞｮｳ10,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,0,0,1,5.6,0,0,1,,20120401,99999999,2171014G1186,5722000,0,シオペルミンＬ錠１０,2171014
