変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称,薬価基準収載7桁
0,Y,610431025,15,フロセミド細粒４％「ＥＭＥＣ」,17,ﾌﾛｾﾐﾄﾞｻｲﾘｭｳ4%EMEC,33,1,ｇ,1,6.4,0,0,0,0,1,0,0,0,0,0,0,1,6.7,0,0,1,,20120401,99999999,2139005C1048,12119000,0,フロセミド細粒４％「ＥＭＥＣ」,2139005
0,Y,610432034,9,ルプラック錠４ｍｇ,13,ﾙﾌﾟﾗｯｸｼﾞｮｳ4MG,16,1,錠,1,27.9,0,0,0,0,0,0,0,0,0,0,0,1,27.9,0,0,1,,20120401,99999999,2139009F1026,15150000,0,ルプラック錠４ｍｇ,2139009
0,Y,610432035,9,ルプラック錠８ｍｇ,13,ﾙﾌﾟﾗｯｸｼﾞｮｳ8MG,16,1,錠,1,43.7,0,0,0,0,0,0,0,0,0,0,0,1,43.7,0,0,1,,20120401,99999999,2139009F2022,15151000,0,ルプラック錠８ｍｇ,2139009
0,Y,610433078,11,ダイタリック錠６０ｍｇ,15,ﾀﾞｲﾀﾘｯｸｼﾞｮｳ60MG,16,1,錠,1,19.2,0,0,0,0,1,0,0,0,0,0,0,1,21.1,0,0,1,,20120401,99999999,2139008F1030,7417000,0,ダイタリック錠６０ｍｇ,2139008
0,Y,610433104,19,フロセミド錠２０「タイヨー」　２０ｍｇ,16,ﾌﾛｾﾐﾄﾞｼﾞｮｳ20ﾀｲﾖｰ,16,1,錠,1,6.0,0,0,0,0,1,0,0,0,0,1,0,1,6.0,0,0,1,,20120401,99999999,2139005F1044,12123000,0,フロセミド錠２０「タイヨー」,2139005
0,Y,610454048,10,ダイアート錠６０ｍｇ,14,ﾀﾞｲｱｰﾄｼﾞｮｳ60MG,16,1,錠,1,35.9,0,0,0,0,0,0,0,0,0,0,0,1,38.0,0,0,1,,20120401,99999999,2139008F1056,7341000,0,ダイアート錠６０ｍｇ,2139008
0,Y,610461153,13,スピロノラクトン１０％細粒,17,ｽﾋﾟﾛﾉﾗｸﾄﾝ10%ｻｲﾘｭｳ,33,1,ｇ,1,16.5,0,0,0,0,1,0,0,0,0,8,0,1,17.0,0,0,1,,20120401,99999999,2133001C1011,6467000,0,スピロノラクトン１０％細粒,2133001
0,Y,610461156,14,スピロノラクトン錠　５０ｍｇ,13,ｽﾋﾟﾛﾉﾗｸﾄﾝｼﾞｮｳ,16,1,錠,1,6.3,0,0,0,0,1,0,0,0,0,1,0,1,6.3,1,1,1,,20120401,99999999,2133001F2014,6470000,0,スピロノラクトン錠,2133001
0,Y,610463125,12,ナトリックス錠１　１ｍｇ,11,ﾅﾄﾘｯｸｽｼﾞｮｳ1,16,1,錠,1,12.2,0,0,0,0,0,0,0,0,0,1,0,1,12.7,0,0,1,,20120401,99999999,2149012F1059,9594000,0,ナトリックス錠１,2149012
0,Y,612130039,12,アルダクトンＡ錠５０ｍｇ,16,ｱﾙﾀﾞｸﾄﾝAｼﾞｮｳ50MG,16,1,錠,1,46.6,0,0,0,0,0,0,0,0,0,1,0,1,48.9,0,0,1,,20120401,99999999,2133001F2057,1099000,0,アルダクトンＡ錠５０ｍｇ,2133001
0,Y,612130207,10,フルイトラン錠２ｍｇ,13,ﾌﾙｲﾄﾗﾝｼﾞｮｳ2MG,16,1,錠,1,9.6,0,0,0,0,0,0,0,0,0,1,0,1,9.6,0,0,1,,20120401,99999999,2132003F1257,11838000,0,フルイトラン錠２ｍｇ,2132003
0,Y,612130267,14,ヨウラクトン錠２５　２５ｍｇ,12,ﾖｳﾗｸﾄﾝｼﾞｮｳ25,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,1,0,1,5.6,0,0,1,,20130621,99999999,2133001F1395,14320000,20140331,ヨウラクトン錠２５,2133001
0,Y,612130313,10,アレリックス３ｍｇ錠,13,ｱﾚﾘｯｸｽ3MGｼﾞｮｳ,16,1,錠,1,13.4,0,0,0,0,0,0,0,0,0,0,0,1,14.1,0,0,1,,20120401,99999999,2139007F1027,1193000,0,アレリックス３ｍｇ錠,2139007
0,Y,612130314,10,アレリックス６ｍｇ錠,13,ｱﾚﾘｯｸｽ6MGｼﾞｮｳ,16,1,錠,1,22.0,0,0,0,0,0,0,0,0,0,0,0,1,23.4,0,0,1,,20120401,99999999,2139007F2023,1194000,0,アレリックス６ｍｇ錠,2139007
0,Y,612130342,14,ヨウラクトン錠５０　５０ｍｇ,12,ﾖｳﾗｸﾄﾝｼﾞｮｳ50,16,1,錠,1,6.3,0,0,0,0,1,0,0,0,0,1,610461156,1,6.3,0,0,1,,20120401,99999999,2133001F2014,14321000,0,ヨウラクトン錠５０,2133001
0,Y,612130353,10,ダイアート錠３０ｍｇ,14,ﾀﾞｲｱｰﾄｼﾞｮｳ30MG,16,1,錠,1,23.6,0,0,0,0,0,0,0,0,0,0,0,1,24.9,0,0,1,,20120401,99999999,2139008F2028,7340000,0,ダイアート錠３０ｍｇ,2139008
0,Y,612140164,11,ノルモナール錠１５ｍｇ,14,ﾉﾙﾓﾅｰﾙｼﾞｮｳ15MG,16,1,錠,1,16.3,0,0,0,0,0,0,0,0,0,0,0,1,16.8,0,0,1,,20120401,99999999,2149007F1023,10077000,0,ノルモナール錠１５ｍｇ,2149007
0,Y,612140560,9,テナキシル錠１ｍｇ,12,ﾃﾅｷｼﾙｼﾞｮｳ1MG,16,1,錠,1,12.8,0,0,0,0,0,0,0,0,0,1,0,1,13.0,0,0,1,,20120401,99999999,2149012F1024,8563000,0,テナキシル錠１ｍｇ,2149012
0,Y,612140561,12,ナトリックス錠２　２ｍｇ,11,ﾅﾄﾘｯｸｽｼﾞｮｳ2,16,1,錠,1,22.9,0,0,0,0,0,0,0,0,0,1,0,1,24.0,0,0,1,,20120401,99999999,2149012F2020,9595000,0,ナトリックス錠２,2149012
0,Y,612140674,9,テナキシル錠２ｍｇ,12,ﾃﾅｷｼﾙｼﾞｮｳ2MG,16,1,錠,1,24.9,0,0,0,0,0,0,0,0,0,1,0,1,25.5,0,0,1,,20120401,99999999,2149012F2039,8564000,0,テナキシル錠２ｍｇ,2149012
0,Y,620000167,10,ラシックス錠２０ｍｇ,13,ﾗｼｯｸｽｼﾞｮｳ20MG,16,1,錠,1,9.6,0,0,0,0,0,0,0,0,0,1,0,1,9.6,0,0,1,,20120401,99999999,2139005F1052,14411000,0,ラシックス錠２０ｍｇ,2139005
0,Y,620000168,10,ラシックス錠４０ｍｇ,13,ﾗｼｯｸｽｼﾞｮｳ40MG,16,1,錠,1,15.2,0,0,0,0,0,0,0,0,0,1,0,1,16.1,0,0,1,,20120401,99999999,2139005F2342,14412000,0,ラシックス錠４０ｍｇ,2139005
0,Y,620000339,10,ラシックス注２０ｍｇ,12,ﾗｼｯｸｽﾁｭｳ20MG,22,1,管,1,61.0,0,0,0,0,0,0,0,0,0,1,0,1,61.0,0,0,4,,20120401,99999999,2139401A2137,22300000,0,ラシックス注２０ｍｇ,2139401
0,Y,620000340,11,ラシックス注１００ｍｇ,13,ﾗｼｯｸｽﾁｭｳ100MG,22,1,管,1,157.0,0,0,0,0,0,0,0,0,0,1,0,1,168.0,0,0,4,,20120401,99999999,2139401A1033,22301000,0,ラシックス注１００ｍｇ,2139401
0,Y,620003083,10,マカシーＡ錠２５ｍｇ,13,ﾏｶｼｰAｼﾞｮｳ25MG,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,1,0,1,5.6,0,0,1,,20121001,99999999,2133001F1450,13189000,0,マカシーＡ錠２５ｍｇ,2133001
0,Y,620003182,9,ラシックス細粒４％,12,ﾗｼｯｸｽｻｲﾘｭｳ4%,33,1,ｇ,1,16.7,0,0,0,0,0,0,0,0,0,0,0,1,17.7,0,0,1,,20120401,99999999,2139005C1064,14409000,0,ラシックス細粒４％,2139005
0,Y,620003440,19,フロセミド錠４０「タイヨー」　４０ｍｇ,16,ﾌﾛｾﾐﾄﾞｼﾞｮｳ40ﾀｲﾖｰ,16,1,錠,1,6.3,0,0,0,0,1,0,0,0,0,1,0,1,6.3,0,0,1,,20120401,99999999,2139005F2369,12127000,0,フロセミド錠４０「タイヨー」,2139005
0,Y,620003560,18,スピロノラクトン錠２５ｍｇ「トーワ」,20,ｽﾋﾟﾛﾉﾗｸﾄﾝｼﾞｮｳ25MGﾄｰﾜ,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,1,0,1,5.6,0,0,1,,20120401,99999999,2133001F1476,6469000,0,スピロノラクトン錠２５ｍｇ「トーワ」,2133001
0,Y,620003591,10,ノイダブル錠２５ｍｇ,15,ﾉｲﾀﾞﾌﾞﾙｼﾞｮｳ25MG,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,1,0,1,5.6,0,0,1,,20120401,99999999,2133001F1484,9991000,0,ノイダブル錠２５ｍｇ,2133001
0,Y,620003807,14,ベネクトミン静注用２００ｍｇ,20,ﾍﾞﾈｸﾄﾐﾝｼﾞｮｳﾁｭｳﾖｳ200M,22,1,管,1,235.0,0,0,0,0,1,0,0,0,0,0,0,1,261.0,0,0,4,,20120401,99999999,2133400D2089,21412000,0,ベネクトミン静注用２００ｍｇ,2133400
0,Y,620004041,14,フロセミド錠１０ｍｇ「ＮＰ」,16,ﾌﾛｾﾐﾄﾞｼﾞｮｳ10MGNP,16,1,錠,1,6.0,0,0,0,0,1,0,0,0,0,1,0,1,6.0,0,0,1,,20120401,99999999,2139005F3020,12120000,0,フロセミド錠１０ｍｇ「ＮＰ」,2139005
0,Y,620004042,14,フロセミド錠２０ｍｇ「ＮＰ」,16,ﾌﾛｾﾐﾄﾞｼﾞｮｳ20MGNP,16,1,錠,1,6.0,0,0,0,0,1,0,0,0,0,1,0,1,6.0,0,0,1,,20120401,99999999,2139005F1060,12121000,0,フロセミド錠２０ｍｇ「ＮＰ」,2139005
0,Y,620004043,14,フロセミド錠４０ｍｇ「ＮＰ」,16,ﾌﾛｾﾐﾄﾞｼﾞｮｳ40MGNP,16,1,錠,1,6.3,0,0,0,0,1,0,0,0,0,1,0,1,6.3,0,0,1,,20120401,99999999,2139005F2385,12125000,0,フロセミド錠４０ｍｇ「ＮＰ」,2139005
