変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称,薬価基準収載7桁
0,Y,610461153,13,スピロノラクトン１０％細粒,17,ｽﾋﾟﾛﾉﾗｸﾄﾝ10%ｻｲﾘｭｳ,33,1,ｇ,1,16.5,0,0,0,0,1,0,0,0,0,8,0,1,17.0,0,0,1,,20120401,99999999,2133001C1011,6467000,0,スピロノラクトン１０％細粒,2133001
0,Y,610461156,14,スピロノラクトン錠　５０ｍｇ,13,ｽﾋﾟﾛﾉﾗｸﾄﾝｼﾞｮｳ,16,1,錠,1,6.3,0,0,0,0,1,0,0,0,0,1,0,1,6.3,1,1,1,,20120401,99999999,2133001F2014,6470000,0,スピロノラクトン錠,2133001
0,Y,612130039,12,アルダクトンＡ錠５０ｍｇ,16,ｱﾙﾀﾞｸﾄﾝAｼﾞｮｳ50MG,16,1,錠,1,46.6,0,0,0,0,0,0,0,0,0,1,0,1,48.9,0,0,1,,20120401,99999999,2133001F2057,1099000,0,アルダクトンＡ錠５０ｍｇ,2133001
0,Y,612130267,14,ヨウラクトン錠２５　２５ｍｇ,12,ﾖｳﾗｸﾄﾝｼﾞｮｳ25,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,1,0,1,5.6,0,0,1,,20130621,99999999,2133001F1395,14320000,20140331,ヨウラクトン錠２５,2133001
0,Y,612130342,14,ヨウラクトン錠５０　５０ｍｇ,12,ﾖｳﾗｸﾄﾝｼﾞｮｳ50,16,1,錠,1,6.3,0,0,0,0,1,0,0,0,0,1,610461156,1,6.3,0,0,1,,20120401,99999999,2133001F2014,14321000,0,ヨウラクトン錠５０,2133001
0,Y,620003083,10,マカシーＡ錠２５ｍｇ,13,ﾏｶｼｰAｼﾞｮｳ25MG,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,1,0,1,5.6,0,0,1,,20121001,99999999,2133001F1450,13189000,0,マカシーＡ錠２５ｍｇ,2133001
0,Y,620003560,18,スピロノラクトン錠２５ｍｇ「トーワ」,20,ｽﾋﾟﾛﾉﾗｸﾄﾝｼﾞｮｳ25MGﾄｰﾜ,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,1,0,1,5.6,0,0,1,,20120401,99999999,2133001F1476,6469000,0,スピロノラクトン錠２５ｍｇ「トーワ」,2133001
0,Y,620003591,10,ノイダブル錠２５ｍｇ,15,ﾉｲﾀﾞﾌﾞﾙｼﾞｮｳ25MG,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,1,0,1,5.6,0,0,1,,20120401,99999999,2133001F1484,9991000,0,ノイダブル錠２５ｍｇ,2133001
0,Y,620003807,14,ベネクトミン静注用２００ｍｇ,20,ﾍﾞﾈｸﾄﾐﾝｼﾞｮｳﾁｭｳﾖｳ200M,22,1,管,1,235.0,0,0,0,0,1,0,0,0,0,0,0,1,261.0,0,0,4,,20120401,99999999,2133400D2089,21412000,0,ベネクトミン静注用２００ｍｇ,2133400
0,Y,620004182,14,ベネクトミン静注用１００ｍｇ,20,ﾍﾞﾈｸﾄﾐﾝｼﾞｮｳﾁｭｳﾖｳ100M,22,1,管,1,143.0,0,0,0,0,1,0,0,0,0,0,0,1,155.0,0,0,4,,20120401,99999999,2133400D1074,21411000,0,ベネクトミン静注用１００ｍｇ,2133400
0,Y,620004558,11,ピロラクトン錠２５ｍｇ,15,ﾋﾟﾛﾗｸﾄﾝｼﾞｮｳ25MG,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,1,0,1,5.6,0,0,1,,20130621,99999999,2133001F1492,11306000,20140331,ピロラクトン錠２５ｍｇ,2133001
0,Y,620004615,11,ラッカルミン錠２５ｍｇ,14,ﾗｯｶﾙﾐﾝｼﾞｮｳ25MG,16,1,錠,1,5.6,0,0,0,0,1,0,0,0,0,1,0,1,5.6,0,0,1,,20120401,99999999,2133001F1506,14430000,0,ラッカルミン錠２５ｍｇ,2133001
0,Y,620004914,12,アルダクトンＡ細粒１０％,16,ｱﾙﾀﾞｸﾄﾝAｻｲﾘｭｳ10%,33,1,ｇ,1,94.2,0,0,0,0,0,0,0,0,0,0,0,1,99.0,0,0,1,,20120401,99999999,2133001C1097,1095000,0,アルダクトンＡ細粒１０％,2133001
0,Y,620004915,12,アルダクトンＡ錠２５ｍｇ,16,ｱﾙﾀﾞｸﾄﾝAｼﾞｮｳ25MG,16,1,錠,1,22.2,0,0,0,0,0,0,0,0,0,1,0,1,23.4,0,0,1,,20120401,99999999,2133001F1522,1098000,0,アルダクトンＡ錠２５ｍｇ,2133001
0,Y,620005824,8,セララ錠２５ｍｇ,11,ｾﾗﾗｼﾞｮｳ25MG,16,1,錠,1,46.5,0,0,0,0,0,0,0,0,0,0,0,1,47.0,0,0,1,,20120401,99999999,2149045F1029,7011000,0,セララ錠２５ｍｇ,2149045
0,Y,620005825,8,セララ錠５０ｍｇ,11,ｾﾗﾗｼﾞｮｳ50MG,16,1,錠,1,88.6,0,0,0,0,0,0,0,0,0,0,0,1,89.5,0,0,1,,20120401,99999999,2149045F2025,7012000,0,セララ錠５０ｍｇ,2149045
0,Y,620005826,9,セララ錠１００ｍｇ,12,ｾﾗﾗｼﾞｮｳ100MG,16,1,錠,1,168.7,0,0,0,0,0,0,0,0,0,0,0,1,170.7,0,0,1,,20120401,99999999,2149045F3021,7013000,0,セララ錠１００ｍｇ,2149045
0,Y,620006051,14,トリテレン・カプセル５０ｍｇ,14,ﾄﾘﾃﾚﾝｶﾌﾟｾﾙ50MG,15,4,カプセル,1,10.5,0,0,0,0,0,0,0,0,0,0,0,1,11.0,0,0,1,,20120401,99999999,2133002M1062,9420000,0,トリテレン・カプセル５０ｍｇ,2133002
