変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称
0,Y,610421343,15,エパデールＳ３００　３００ｍｇ,11,ｴﾊﾟﾃﾞｰﾙS300,18,1,包,1,34.3,0,0,0,0,0,0,0,0,0,1,0,1,36.2,0,0,1,,20191001,99999999,3399004M2022,2968000,0,エパデールＳ３００
0,Y,610421344,15,エパデールＳ６００　６００ｍｇ,11,ｴﾊﾟﾃﾞｰﾙS600,18,1,包,1,61.3,0,0,0,0,0,0,0,0,0,1,0,1,65.3,0,0,1,,20191001,99999999,3399004M3029,2969000,0,エパデールＳ６００
0,Y,610422055,16,エパラカプセル３００　３００ｍｇ,12,ｴﾊﾟﾗｶﾌﾟｾﾙ300,15,4,カプセル,1,21.8,0,0,0,0,1,0,0,0,0,1,0,1,22.2,0,0,1,,20191001,99999999,3399004M1131,2974000,0,エパラカプセル３００
0,Y,610422056,14,エパロースカプセル３００ｍｇ,16,ｴﾊﾟﾛｰｽｶﾌﾟｾﾙ300MG,15,4,カプセル,1,14.6,0,0,0,0,1,0,0,0,0,1,0,1,14.9,0,0,1,,20191001,99999999,3399004M1140,3000000,0,エパロースカプセル３００ｍｇ
0,Y,610422206,18,ナサチームカプセル３００　３００ｍｇ,13,ﾅｻﾁｰﾑｶﾌﾟｾﾙ300,15,4,カプセル,1,21.8,0,0,0,0,1,0,0,0,0,1,0,1,22.2,0,0,1,,20191001,99999999,3399004M1212,11568000,20200331,ナサチームカプセル３００
0,Y,613390006,18,エパデールカプセル３００　３００ｍｇ,15,ｴﾊﾟﾃﾞｰﾙｶﾌﾟｾﾙ300,15,4,カプセル,1,33.6,0,0,0,0,0,0,0,0,0,1,0,1,35.0,0,0,1,,20191001,99999999,3399004M1026,2971000,0,エパデールカプセル３００
0,Y,620001924,15,エパデールＳ９００　９００ｍｇ,11,ｴﾊﾟﾃﾞｰﾙS900,18,1,包,1,86.2,0,0,0,0,0,0,0,0,0,1,0,1,92.7,0,0,1,,20191001,99999999,3399004M4025,2970000,0,エパデールＳ９００
0,Y,620005032,17,ソルミラン顆粒状カプセル６００ｍｇ,20,ｿﾙﾐﾗﾝｶﾘｭｳｼﾞｮｳｶﾌﾟｾﾙ60,18,1,包,1,46.4,0,0,0,0,1,0,0,0,0,0,0,1,49.9,0,0,1,,20191213,99999999,3399004M3037,8821000,20200331,ソルミラン顆粒状カプセル６００ｍｇ
0,Y,620005513,17,ソルミラン顆粒状カプセル９００ｍｇ,20,ｿﾙﾐﾗﾝｶﾘｭｳｼﾞｮｳｶﾌﾟｾﾙ90,18,1,包,1,67.8,0,0,0,0,1,0,0,0,0,0,0,1,72.5,0,0,1,,20191213,99999999,3399004M4033,8822000,20200331,ソルミラン顆粒状カプセル９００ｍｇ
0,Y,620005932,18,エパキャップソフトカプセル３００ｍｇ,20,ｴﾊﾟｷｬｯﾌﾟｿﾌﾄｶﾌﾟｾﾙ300M,15,4,カプセル,1,14.6,0,0,0,0,1,0,0,0,0,1,0,1,14.9,0,0,1,,20191213,99999999,3399004M1328,2900000,20200331,エパキャップソフトカプセル３００ｍｇ
0,Y,620007887,26,イコサペント酸エチル粒状カプセル３００ｍｇ「サワイ」,20,ｲｺｻﾍﾟﾝﾄｻﾝｴﾁﾙﾘｭｳｼﾞｮｳｶ,18,1,包,1,14.5,0,0,0,0,1,0,0,0,0,1,0,1,15.0,0,0,1,,20191001,99999999,3399004M2057,1903000,0,イコサペント酸エチル粒状カプセル３００ｍｇ「サワイ」
0,Y,620007888,26,イコサペント酸エチル粒状カプセル３００ｍｇ「ＴＣＫ」,20,ｲｺｻﾍﾟﾝﾄｻﾝｴﾁﾙﾘｭｳｼﾞｮｳｶ,18,1,包,1,14.5,0,0,0,0,1,0,0,0,0,1,0,1,15.0,0,0,1,,20191001,99999999,3399004M2049,1906000,0,イコサペント酸エチル粒状カプセル３００ｍｇ「ＴＣＫ」
