変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称
0,Y,620001883,16,ベザフィブラート２００ｍｇ徐放錠,20,ﾍﾞｻﾞﾌｨﾌﾞﾗｰﾄ200MGｼﾞｮﾎ,16,1,錠,1,9.9,0,0,0,0,1,0,0,0,0,8,0,1,9.9,0,0,1,,20160401,99999999,2183005G1013,13525000,0,ベザフィブラート２００ｍｇ徐放錠
0,Y,622322900,16,ベザフィブラート１００ｍｇ徐放錠,20,ﾍﾞｻﾞﾌｨﾌﾞﾗｰﾄ100MGｼﾞｮﾎ,16,1,錠,1,7.7,0,0,0,0,1,0,0,0,0,8,0,1,7.7,0,0,1,,20160401,99999999,2183005G2010,13524000,0,ベザフィブラート１００ｍｇ徐放錠
0,Y,610407028,13,ベザトールＳＲ錠１００ｍｇ,18,ﾍﾞｻﾞﾄｰﾙSRｼﾞｮｳ100MG,16,1,錠,1,19.6,0,0,0,0,0,0,0,0,0,1,0,1,20.5,0,0,1,,20191001,99999999,2183005G2028,15061000,0,ベザトールＳＲ錠１００ｍｇ
0,Y,610422262,18,ベザレックスＳＲ錠１００　１００ｍｇ,17,ﾍﾞｻﾞﾚｯｸｽSRｼﾞｮｳ100,16,1,錠,1,10.1,0,0,0,0,1,0,0,0,0,1,0,1,9.9,0,0,1,,20191001,99999999,2183005G2052,15083000,20200331,ベザレックスＳＲ錠１００
0,Y,610422263,18,ベザレックスＳＲ錠２００　２００ｍｇ,17,ﾍﾞｻﾞﾚｯｸｽSRｼﾞｮｳ200,16,1,錠,1,12.5,0,0,0,0,1,0,0,0,0,1,0,1,13.3,0,0,1,,20191001,99999999,2183005G1072,15084000,20200331,ベザレックスＳＲ錠２００
0,Y,610422264,17,ベスタリットＬ錠１００　１００ｍｇ,15,ﾍﾞｽﾀﾘｯﾄLｼﾞｮｳ100,16,1,錠,1,10.1,0,0,0,0,1,0,0,0,0,1,0,1,9.9,0,0,1,,20191001,99999999,2183005G2060,15096000,0,ベスタリットＬ錠１００
0,Y,610422265,17,ベスタリットＬ錠２００　２００ｍｇ,15,ﾍﾞｽﾀﾘｯﾄLｼﾞｮｳ200,16,1,錠,1,10.1,0,0,0,0,1,0,0,0,0,1,0,1,9.9,0,0,1,,20191001,99999999,2183005G1080,15097000,0,ベスタリットＬ錠２００
0,Y,610422276,16,ミデナールＬ錠２００　２００ｍｇ,14,ﾐﾃﾞﾅｰﾙLｼﾞｮｳ200,16,1,錠,1,10.1,0,0,0,0,1,0,0,0,0,1,0,1,9.9,0,0,1,,20191001,99999999,2183005G1099,16326000,0,ミデナールＬ錠２００
0,Y,612180028,18,クロフィブラートカプセル　２５０ｍｇ,14,ｸﾛﾌｨﾌﾞﾗｰﾄｶﾌﾟｾﾙ,15,4,カプセル,1,8.7,0,0,0,0,0,0,0,0,0,1,0,1,8.5,0,0,1,,20191001,99999999,2183002M1013,5715000,0,クロフィブラートカプセル
0,Y,612180029,18,クロフィブラートカプセル　５００ｍｇ,14,ｸﾛﾌｨﾌﾞﾗｰﾄｶﾌﾟｾﾙ,15,4,カプセル,1,9.8,0,0,0,0,0,0,0,0,0,1,0,1,9.6,0,0,1,,20191001,99999999,2183002M2010,5719000,0,クロフィブラートカプセル
0,Y,612180106,15,リポクリン錠２００　２００ｍｇ,13,ﾘﾎﾟｸﾘﾝｼﾞｮｳ200,16,1,錠,1,12.6,0,0,0,0,0,0,0,0,0,0,0,1,12.9,0,0,1,,20191001,99999999,2183001F1060,18005000,20200331,リポクリン錠２００
0,Y,620002123,13,ベザトールＳＲ錠２００ｍｇ,18,ﾍﾞｻﾞﾄｰﾙSRｼﾞｮｳ200MG,16,1,錠,1,24.0,0,0,0,0,0,0,0,0,0,1,0,1,25.0,0,0,1,,20191001,99999999,2183005G1234,15062000,0,ベザトールＳＲ錠２００ｍｇ
