変更区分,マスター種別,医薬品コード,医薬品名・規格名_漢字有効桁数,医薬品名・規格名_漢字名称,医薬品名・規格名_カナ有効桁数,医薬品名・規格名_カナ名称,単位_コード,単位_漢字有効桁数,単位_漢字名称,新又は現金額_金額種別,新又は現金額_新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備.1,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額_金額種別,旧金額_旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備.2,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称
0,Y,620000151,9,メバトルテ細粒１％,13,ﾒﾊﾞﾄﾙﾃｻｲﾘｭｳ1%,33,1,ｇ,1,50.6,0,0,0,0,1,0,0,0,0,1,0,1,51.9,0,0,1,,20160401,99999999,2189010C2039,15102000,0,メバトルテ細粒１％
0,Y,620000152,11,メバトルテ錠５　５ｍｇ,11,ﾒﾊﾞﾄﾙﾃｼﾞｮｳ5,16,1,錠,1,17.4,0,0,0,0,1,0,0,0,0,1,0,1,20.6,0,0,1,,20160401,99999999,2189010F1098,15103000,0,メバトルテ錠５
0,Y,620000153,13,メバトルテ錠１０　１０ｍｇ,12,ﾒﾊﾞﾄﾙﾃｼﾞｮｳ10,16,1,錠,1,20.4,0,0,0,0,1,0,0,0,0,8,622139600,1,23.0,0,0,1,,20160401,99999999,2189010F2019,15104000,0,メバトルテ錠１０
0,Y,620000158,13,メバリリン錠１０　１０ｍｇ,12,ﾒﾊﾞﾘﾘﾝｼﾞｮｳ10,16,1,錠,1,20.4,0,0,0,0,1,0,0,0,0,8,622139600,1,23.0,0,0,1,,20160401,99999999,2189010F2019,15108000,0,メバリリン錠１０
0,Y,620000169,8,ラミアン錠５ｍｇ,11,ﾗﾐｱﾝｼﾞｮｳ5MG,16,1,錠,1,56.9,0,0,0,0,1,0,0,0,0,1,0,1,61.6,0,0,1,,20160401,99999999,2189011F1076,15641000,0,ラミアン錠５ｍｇ
0,Y,620000178,12,リポバトール錠５　５ｍｇ,13,ﾘﾎﾟﾊﾞﾄｰﾙｼﾞｮｳ5,16,1,錠,1,24.3,0,0,0,0,1,0,0,0,0,8,622315400,1,27.6,0,0,1,,20160401,99999999,2189011F1017,16069000,0,リポバトール錠５
0,Y,620002163,13,リポザート錠１０　１０ｍｇ,13,ﾘﾎﾟｻﾞｰﾄｼﾞｮｳ10,16,1,錠,1,86.1,0,0,0,0,1,0,0,0,0,1,0,1,87.6,0,0,1,,20160401,99999999,2189011F2056,16057000,0,リポザート錠１０
0,Y,620004085,11,メバリリン錠５　５ｍｇ,11,ﾒﾊﾞﾘﾘﾝｼﾞｮｳ5,16,1,錠,1,12.4,0,0,0,0,1,0,0,0,0,8,622321900,1,13.7,0,0,1,,20160401,99999999,2189010F1012,15107000,0,メバリリン錠５
0,Y,621955001,14,リポバトール錠１０　１０ｍｇ,14,ﾘﾎﾟﾊﾞﾄｰﾙｼﾞｮｳ10,16,1,錠,1,54.8,0,0,0,0,1,0,0,0,0,8,622315500,1,62.6,0,0,1,,20160401,99999999,2189011F2013,16070000,0,リポバトール錠１０
0,Y,622062701,11,メバトルテ細粒０．５％,15,ﾒﾊﾞﾄﾙﾃｻｲﾘｭｳ0.5%,33,1,ｇ,1,27.9,0,0,0,0,1,0,0,0,0,1,0,1,30.6,0,0,1,,20160401,99999999,2189010C1040,15101000,0,メバトルテ細粒０．５％
0,Y,622102501,13,リポザート錠２０　２０ｍｇ,13,ﾘﾎﾟｻﾞｰﾄｼﾞｮｳ20,16,1,錠,1,112.9,0,0,0,0,1,0,0,0,0,8,622315600,1,121.4,0,0,1,,20160401,99999999,2189011F3010,16058000,0,リポザート錠２０
0,Y,622169901,9,ラミアン錠１０ｍｇ,12,ﾗﾐｱﾝｼﾞｮｳ10MG,16,1,錠,1,106.1,0,0,0,0,1,0,0,0,0,1,0,1,124.0,0,0,1,,20160401,99999999,2189011F2188,15642000,0,ラミアン錠１０ｍｇ
0,Y,622170001,9,ラミアン錠２０ｍｇ,12,ﾗﾐｱﾝｼﾞｮｳ20MG,16,1,錠,1,156.7,0,0,0,0,1,0,0,0,0,1,0,1,231.6,0,0,1,,20160401,99999999,2189011F3176,15643000,0,ラミアン錠２０ｍｇ
0,Y,610443013,9,リピトール錠５ｍｇ,13,ﾘﾋﾟﾄｰﾙｼﾞｮｳ5MG,16,1,錠,1,43.6,0,0,0,0,0,0,0,0,0,1,0,1,46.4,0,0,1,,20191001,99999999,2189015F1023,17989000,0,リピトール錠５ｍｇ
0,Y,610443014,10,リピトール錠１０ｍｇ,14,ﾘﾋﾟﾄｰﾙｼﾞｮｳ10MG,16,1,錠,1,82.9,0,0,0,0,0,0,0,0,0,1,0,1,88.2,0,0,1,,20191001,99999999,2189015F2020,17990000,0,リピトール錠１０ｍｇ
0,Y,610454084,11,メバロチン細粒０．５％,15,ﾒﾊﾞﾛﾁﾝｻｲﾘｭｳ0.5%,33,1,ｇ,1,44.8,0,0,0,0,0,0,0,0,0,1,0,1,48.5,0,0,1,,20191001,99999999,2189010C1032,16875000,0,メバロチン細粒０．５％
0,Y,610454085,11,メバロチン錠５　５ｍｇ,11,ﾒﾊﾞﾛﾁﾝｼﾞｮｳ5,16,1,錠,1,34.9,0,0,0,0,0,0,0,0,0,1,0,1,37.3,0,0,1,,20191001,99999999,2189010F1039,16877000,0,メバロチン錠５
0,Y,610462015,12,リポバス錠１０　１０ｍｇ,12,ﾘﾎﾟﾊﾞｽｼﾞｮｳ10,16,1,錠,1,170.9,0,0,0,0,0,0,0,0,0,1,0,1,181.5,0,0,1,,20191001,99999999,2189011F2021,18018000,0,リポバス錠１０
0,Y,610462016,12,リポバス錠２０　２０ｍｇ,12,ﾘﾎﾟﾊﾞｽｼﾞｮｳ20,16,1,錠,1,328.4,0,0,0,0,0,0,0,0,0,1,0,1,344.5,0,0,1,,20191001,99999999,2189011F3028,18019000,0,リポバス錠２０
0,Y,610470012,10,ローコール錠１０ｍｇ,13,ﾛｰｺｰﾙｼﾞｮｳ10MG,16,1,錠,1,30.6,0,0,0,0,0,0,0,0,0,0,0,1,31.9,0,0,1,,20191001,99999999,2189012F1020,18663000,0,ローコール錠１０ｍｇ
0,Y,610470013,10,ローコール錠２０ｍｇ,13,ﾛｰｺｰﾙｼﾞｮｳ20MG,16,1,錠,1,54.4,0,0,0,0,0,0,0,0,0,0,0,1,56.5,0,0,1,,20191001,99999999,2189012F2026,18664000,0,ローコール錠２０ｍｇ
0,Y,610470014,10,ローコール錠３０ｍｇ,13,ﾛｰｺｰﾙｼﾞｮｳ30MG,16,1,錠,1,76.6,0,0,0,0,0,0,0,0,0,0,0,1,80.1,0,0,1,,20191001,99999999,2189012F3022,18665000,0,ローコール錠３０ｍｇ
0,Y,612180263,10,リポバス錠５　５ｍｇ,11,ﾘﾎﾟﾊﾞｽｼﾞｮｳ5,16,1,錠,1,77.5,0,0,0,0,0,0,0,0,0,1,0,1,81.8,0,0,1,,20191001,99999999,2189011F1025,18017000,0,リポバス錠５
0,Y,612180264,9,メバロチン細粒１％,13,ﾒﾊﾞﾛﾁﾝｻｲﾘｭｳ1%,33,1,ｇ,1,84.2,0,0,0,0,0,0,0,0,0,1,0,1,89.5,0,0,1,,20191001,99999999,2189010C2020,16876000,0,メバロチン細粒１％
0,Y,612180265,13,メバロチン錠１０　１０ｍｇ,12,ﾒﾊﾞﾛﾁﾝｼﾞｮｳ10,16,1,錠,1,65.7,0,0,0,0,0,0,0,0,0,1,0,1,70.5,0,0,1,,20191001,99999999,2189010F2027,16878000,0,メバロチン錠１０
0,Y,620000052,16,シンバスタチン錠５ｍｇ「アメル」,18,ｼﾝﾊﾞｽﾀﾁﾝｼﾞｮｳ5MGｱﾒﾙ,16,1,錠,1,19.6,0,0,0,0,1,0,0,0,0,8,622315400,1,21.2,0,0,1,,20191001,99999999,2189011F1017,7629000,0,シンバスタチン錠５ｍｇ「アメル」
0,Y,620000053,19,シンバスタチン錠５「ＭＥＥＫ」　５ｍｇ,17,ｼﾝﾊﾞｽﾀﾁﾝｼﾞｮｳ5MEEK,16,1,錠,1,29.8,0,0,0,0,1,0,0,0,0,1,0,1,34.6,0,0,1,,20191001,99999999,2189011F1050,7633000,0,シンバスタチン錠５「ＭＥＥＫ」
0,Y,620000103,18,プラバスタチンＮａ錠５ｍｇ「アメル」,20,ﾌﾟﾗﾊﾞｽﾀﾁﾝNAｼﾞｮｳ5MGｱﾒ,16,1,錠,1,13.0,0,0,0,0,1,0,0,0,0,1,0,1,14.6,0,0,1,,20191001,99999999,2189010F1055,14318000,0,プラバスタチンＮａ錠５ｍｇ「アメル」
