請求コード,傷病名名称
4251008,閉塞性肥大型心筋症
4254018,非閉塞性肥大型心筋症
8846101,拡張相肥大型心筋症
8846150,心尖部肥大型心筋症
8844914,頻脈性不整脈
4260005,第３度房室ブロック
4261009,第２度房室ブロック
8835363,術後房室ブロック
8842458,ウェンケバッハ型第２度房室ブロック
8842540,モビッツ２型第２度房室ブロック
8846942,発作性心房細動
8847814,非弁膜症性発作性心房細動
8835435,上室頻拍
8842206,発作性上室頻拍
4266003,三枝ブロック
4274001,一過性心室細動
4274004,心室細動
8847804,トルサードドポアント
8845142,非持続性心室頻拍
8847767,持続性心室頻拍
7100011,全身性エリテマトーデス
8836513,全身性エリテマトーデス性呼吸器障害
8836514,全身性エリテマトーデス精神病
8836515,全身性エリテマトーデス性心膜炎
8836516,全身性エリテマトーデス性脳動脈炎
8836518,全身性エリテマトーデス脊髄炎
8836519,全身性エリテマトーデス脳炎
8836520,全身性エリテマトーデス脳脊髄炎
8841438,全身性エリテマトーデス性ミオパチー
8846167,ステロイド抵抗性全身性エリテマトーデス
8848278,全身性エリテマトーデス性間質性肺炎
4462001,グッドパスチャー症候群
2830003,自己免疫性溶血性貧血
8831012,温式自己免疫性溶血性貧血
8839277,非自己免疫性溶血性貧血
8840707,薬剤性自己免疫性溶血性貧血
2452003,橋本病
8844579,橋本病母体より出生した児
2420002,バセドウ病
2420003,バセドウ病術後再発
8841333,バセドウ病眼症
8843949,バセドウ病母体児
2840007,先天性再生不良性貧血
2849003,再生不良性貧血
8831483,肝炎後再生不良性貧血
8836888,体質性再生不良性貧血
8838181,特発性再生不良性貧血
8838399,二次性再生不良性貧血
8840110,本態性再生不良性貧血
8840706,薬剤性再生不良性貧血
8846120,軽症再生不良性貧血
8846136,最重症再生不良性貧血
8846160,重症再生不良性貧血
8846189,中等症再生不良性貧血
3409005,多発性硬化症
8832406,急性多発性硬化症
8835995,脊髄多発性硬化症
8838689,脳幹多発性硬化症
8840486,無症候性多発性硬化症
7478017,脳動静脈奇形
7478022,硬膜脳動静脈奇形
8847895,脳動静脈奇形破裂
4373003,前交通動脈瘤
4373005,多発性脳動脈瘤
4373007,中大脳動脈瘤
