,請求コード,傷病名名称,ショウビョウメイ,ICD10コード
1,4280011,右心不全,ウシンフゼン,I500
2,8830796,うっ血性心不全,ウッケツセイシンフゼン,I500
3,4289005,急性心不全,キュウセイシンフゼン,I509
4,8833422,高血圧性うっ血性心不全,コウケツアツセイウッケツセイシンフゼン,I110
5,8833426,高血圧性心不全,コウケツアツセイシンフゼン,I110
6,2429015,甲状腺中毒性心不全,コウジョウセンチュウドクセイシンフゼン,E059
7,4281009,左心不全,サシンフゼン,I501
8,4289015,心不全,シンフゼン,I509
9,4280005,慢性うっ血性心不全,マンセイウッケツセイシンフゼン,I500
10,4289018,慢性心不全,マンセイシンフゼン,I509
11,8840943,リウマチ性心不全,リウマチセイシンフゼン,I099
12,8841016,両心不全,リョウシンフゼン,I509
13,2902006,老年期うつ病,ロウネンキウツビョウ,F03
14,2920003,薬物禁断症候群,ヤクブツキンダンショウコウグン,F193
15,2929001,薬物性精神障害,ヤクブツセイセイシンショウガイ,F199
16,2949012,中毒性精神障害,チュウドクセイセイシンショウガイ,F199
17,2949013,中毒性精神病,チュウドクセイセイシンビョウ,F195
18,2960005,単極性躁病,タンキョクセイソウビョウ,F309
19,2960008,躁状態,ソウジョウタイ,F309
20,2960012,躁病発作,ソウビョウホッサ,F308
21,2961003,うつ病,ウツビョウ,F329
22,2965002,循環型躁うつ病,ジュンカンガタソウウツビョウ,F318
23,2966002,躁うつ病,ソウウツビョウ,F319
24,2972004,慢性幻覚精神病,マンセイゲンカクセイシンビョウ,F28
25,2989009,精神障害,セイシンショウガイ,F99
26,2989010,精神病,セイシンビョウ,F29
27,3004022,抑うつ神経症,ヨクウツシンケイショウ,F341
28,3004024,不安うつ病,フアンウツビョウ,F412
29,3058002,抗うつ薬乱用,コウウツヤクランヨウ,F191
30,3059003,薬物乱用,ヤクブツランヨウ,F191
31,3100002,前頭葉症候群,ゼントウヨウショウコウグン,F070
32,3100006,クリューバー・ビューシー症候群,クリューバー・ビューシーショウコウグン,F078
33,3108001,ゲルストマン症候群,ゲルストマンショウコウグン,F812
34,8830330,アルコール依存症,アルコールイゾンショウ,F102
35,8830331,アルコール幻覚症,アルコールゲンカクショウ,F105
36,8830345,アルコール性躁病,アルコールセイソウビョウ,F107
37,8830493,依存を生じない物質の乱用,イゾンヲショウジナイブッシツノランヨウ,F55
38,8830798,うつ状態アルコール中毒,ウツジョウタイアルコールチュウドク,F107
39,8835222,持続性妄想性障害,ジゾクセイモウソウセイショウガイ,F229
40,8836650,双極性感情障害・軽症のうつ病エピソード,ソウキョクセイカンジョウショウガイ・ケイショウノウツビョウエピソード,F313
41,8836651,双極性感情障害・軽躁病エピソード,ソウキョクセイカンジョウショウガイ・ケイソウビョウエピソード,F310
42,8836652,双極性感情障害・混合性エピソード,ソウキョクセイカンジョウショウガイ・コンゴウセイエピソード,F316
43,8836653,双極性感情障害・精神病症状を伴う躁病エピソード,ソウキョクセイカンジョウショウガイ・セイシンビョウショウジョウヲトモナウソウビョウエピソード,F312
44,8836654,双極性感情障害・精神病症状を伴わない重症うつ病エピソード,ソウキョクセイカンジョウショウガイ・セイシンビョウショウジョウヲトモナワナイジュウショウウツビョウ,F314
45,8836655,双極性感情障害・精神病症状を伴わない躁病エピソード,ソウキョクセイカンジョウショウガイ・セイシンビョウショウジョウヲトモナワナイソウビョウエピソード,F311
46,8836656,双極性感情障害・精神病症状を伴う重症うつ病エピソード,ソウキョクセイカンジョウショウガイ・セイシンビョウショウジョウヲトモナウジュウショウウツビョウ,F315
47,8836657,双極性感情障害・中等症のうつ病エピソード,ソウキョクセイカンジョウショウガイ・チュウトウショウノウツビョウエピソード,F313
48,8836693,躁病性昏迷,ソウビョウセイコンメイ,F302
49,8837626,中等症うつ病エピソード,チュウトウショウウツビョウエピソード,F321
50,8837627,中等症反復性うつ病性障害,チュウトウショウハンプクセイウツビョウセイショウガイ,F331
51,8839033,反復心因性うつ病,ハンプクシンインセイウツビョウ,F339
52,8839040,反復性心因性抑うつ精神病,ハンプクセイシンインセイヨクウツセイシンビョウ,F333
53,8839041,反復性精神病性うつ病,ハンプクセイセイシンビョウセイウツビョウ,F333
54,8839043,反復性躁病エピソード,ハンプクセイソウビョウエピソード,F318
55,8839045,反復性短期うつ病エピソード,ハンプクセイタンキウツビョウエピソード,F381
56,8841702,統合失調症,トウゴウシッチョウショウ,F209
57,8842256,うつ病型統合失調感情障害,ウツビョウガタトウゴウシッチョウカンジョウショウガイ,F251
58,8842258,型分類困難な統合失調症,カタブンルイコンナンナトウゴウシッチョウショウ,F203
59,8842260,急性統合失調症,キュウセイトウゴウシッチョウショウ,F232
60,8842263,境界型統合失調症,キョウカイガタトウゴウシッチョウショウ,F21
61,8842264,緊張型統合失調症,キンチョウガタトウゴウシッチョウショウ,F202
62,8842266,偽神経症性統合失調症,ギシンケイショウセイトウゴウシッチョウショウ,F21
63,8842268,混合型統合失調感情障害,コンゴウガタトウゴウシッチョウカンジョウショウガイ,F252
64,8842269,残遺型統合失調症,ザンイガタトウゴウシッチョウショウ,F205
65,8842271,小児期型統合失調症,ショウニキガタトウゴウシッチョウショウ,F845
66,8842278,潜在性統合失調症,センザイセイトウゴウシッチョウショウ,F21
67,8842279,前駆期統合失調症,ゼンクキトウゴウシッチョウショウ,F21
68,8842280,躁病型統合失調感情障害,ソウビョウガタトウゴウシッチョウカンジョウショウガイ,F250
69,8842281,体感症性統合失調症,タイカンショウセイトウゴウシッチョウショウ,F208
70,8842283,単純型統合失調症,タンジュンガタトウゴウシッチョウショウ,F206
71,8842284,遅発性統合失調症,チハツセイトウゴウシッチョウショウ,F208
72,8842285,統合失調感情障害,トウゴウシッチョウカンジョウショウガイ,F259
73,8842288,統合失調症後抑うつ,トウゴウシッチョウショウゴヨクウツ,F204
74,8842295,統合失調症様状態,トウゴウシッチョウショウヨウジョウタイ,F208
75,8842300,破瓜型統合失調症,ハカガタトウゴウシッチョウショウ,F201
76,8842301,妄想型統合失調症,モウソウガタトウゴウシッチョウショウ,F200
77,8842517,双極性感情障害,ソウキョクセイカンジョウショウガイ,F319
78,8842618,認知症,ニンチショウ,F03
79,8842619,認知症に重なったせん妄,ニンチショウニカサナッタセンモウ,F051
80,8842620,認知症に重ならないせん妄,ニンチショウニカサナラナイセンモウ,F050
81,8842625,皮質下認知症,ヒシツカニンチショウ,F012
82,8842626,皮質認知症,ヒシツニンチショウ,F011
83,8842637,老年期認知症,ロウネンキニンチショウ,F03
84,8842638,老年期認知症妄想型,ロウネンキニンチショウモウソウガタ,F03
85,8842639,老年期認知症抑うつ型,ロウネンキニンチショウヨクウツガタ,F03
86,8842698,急性統合失調症性エピソード,キュウセイトウゴウシッチョウショウセイエピソード,F208
87,8842699,急性統合失調症様精神病性障害,キュウセイトウゴウシッチョウショウヨウセイシンビョウセイショウガイ,F232
88,8842801,短期統合失調症様障害,タンキトウゴウシッチョウショウヨウショウガイ,F232
89,8842813,統合失調症型障害,トウゴウシッチョウショウガタショウガイ,F21
90,8842815,統合失調症症状を伴う急性錯乱,トウゴウシッチョウショウショウジョウヲトモナウキュウセイサクラン,F231
