医薬品コード,名称,薬価基準収載医薬品コード
610432006,デプロメール錠２５　２５ｍｇ,1179039F1028
610432007,デプロメール錠５０　５０ｍｇ,1179039F2024
610432019,ルボックス錠２５　２５ｍｇ,1179039F1036
610432020,ルボックス錠５０　５０ｍｇ,1179039F2032
610443045,パキシル錠１０ｍｇ,1179041F1025
610443046,パキシル錠２０ｍｇ,1179041F2021
620003481,ジェイゾロフト錠２５ｍｇ,1179046F1028
620003482,ジェイゾロフト錠５０ｍｇ,1179046F2024
620006991,デプロメール錠７５　７５ｍｇ,1179039F3020
620007147,ルボックス錠７５　７５ｍｇ,1179039F3039
620008086,ミルナシプラン塩酸塩錠１５ｍｇ「アメル」,1179040F1080
620008087,ミルナシプラン塩酸塩錠１５ｍｇ「ＡＦＰ」,1179040F1039
620008089,ミルナシプラン塩酸塩錠１５ｍｇ「ＮＰ」,1179040F1055
620008090,ミルナシプラン塩酸塩錠１５ｍｇ「サワイ」,1179040F1098
620008091,ミルナシプラン塩酸塩錠１５ｍｇ「ＪＧ」,1179040F1047
620008092,ミルナシプラン塩酸塩錠１５ｍｇ「タイヨー」,1179040F1101
620008093,ミルナシプラン塩酸塩錠１５ｍｇ「ＴＹＫ」,1179040F1071
620008094,ミルナシプラン塩酸塩錠１５ｍｇ「トーワ」,1179040F1110
620008095,ミルナシプラン塩酸塩錠１５ｍｇ「日医工」,1179040F1128
620008096,ミルナシプラン塩酸塩錠２５ｍｇ「アメル」,1179040F2086
620008097,ミルナシプラン塩酸塩錠２５ｍｇ「ＡＦＰ」,1179040F2035
620008099,ミルナシプラン塩酸塩錠２５ｍｇ「ＮＰ」,1179040F2051
620008100,ミルナシプラン塩酸塩錠２５ｍｇ「サワイ」,1179040F2094
620008101,ミルナシプラン塩酸塩錠２５ｍｇ「ＪＧ」,1179040F2043
620008102,ミルナシプラン塩酸塩錠２５ｍｇ「タイヨー」,1179040F2108
620008103,ミルナシプラン塩酸塩錠２５ｍｇ「ＴＹＫ」,1179040F2078
620008104,ミルナシプラン塩酸塩錠２５ｍｇ「トーワ」,1179040F2116
