医薬品コード,名称,薬価基準収載医薬品コード
610406009,アセメール錠１０　１０ｍｇ,2123014F2040
610406053,エマベリンＬカプセル５ｍｇ,2171014N4028
610406157,セオノマール錠５　５ｍｇ,2123014F1035
610406158,セオノマール錠１０　１０ｍｇ,2123014F2120
610406167,セレクナート錠２０ｍｇ,2149010F1114
610406168,セレクナート錠４０ｍｇ,2149010F2170
610406284,ヘルラートＬ錠１０　１０ｍｇ,2171014G1151
610407003,スプレンジール錠２．５ｍｇ,2149035F1025
610407004,スプレンジール錠５ｍｇ,2149035F2021
610407005,デタントールＲ錠３ｍｇ,2149015G1023
610407006,デタントールＲ錠６ｍｇ,2149015G2020
610407010,ムノバール２．５ｍｇ錠,2149035F1033
610407011,ムノバール５ｍｇ錠,2149035F2030
610407019,カルバン錠２５　２５ｍｇ,2149036F1020
610407020,カルバン錠５０　５０ｍｇ,2149036F2026
610407021,カルバン錠１００　１００ｍｇ,2149036F3022
610407115,ミオカルジー錠６０　６０ｍｇ,2171006F2050
610407142,コナン錠５ｍｇ,2144010F1029
610407143,コナン錠１０ｍｇ,2144010F2025
610407144,コナン錠２０ｍｇ,2144010F3021
610407147,アテレック錠５　５ｍｇ,2149037F1032
610407148,アテレック錠１０　１０ｍｇ,2149037F2039
610409327,オドリック錠０．５ｍｇ,2144011F1023
610409328,オドリック錠１ｍｇ,2144011F2020
610409331,プレラン０．５ｍｇ錠,2144011F1031
610409332,プレラン１ｍｇ錠,2144011F2038
610412007,アテノロールドライシロップ１０％「ＥＭＥＣ」,2123011R1020
610412013,アポプリール錠１２．５　１２．５ｍｇ,2144001F1038
610412014,アポプリール錠２５　２５ｍｇ,2144001F2018
610412035,カトナプロン錠１２．５ｍｇ,2144001F1054
610412036,カトナプロン錠２５ｍｇ,2144001F2018
610412039,カプシール錠１２．５ｍｇ,2144001F1070
610412040,カプシール錠２５ｍｇ,2144001F2018
610412044,カプトルナ錠１２．５ｍｇ,2144001F1119
610412045,カプトルナ錠２５ｍｇ,2144001F2018
610412080,シオペルミンＬ錠１０　１０ｍｇ,2171014G1186
610412081,シオペルミンＬ錠２０　２０ｍｇ,2171014G2018
610412110,ダウプリル錠１２．５　１２．５ｍｇ,2144001F1178
610412111,ダウプリル錠２５　２５ｍｇ,2144001F2018
610412129,ニトレナール錠１０ｍｇ,2171020F2034
610412130,ニトレナール錠５ｍｇ,2171020F1038
610412142,バロテイン錠１０　１０ｍｇ,2171020F2018
610412143,バロテイン錠５　５ｍｇ,2171020F1011
610412184,ルチアノンカプセルＲ１００　１００ｍｇ,2171006N1067
610421318,コバシル錠２ｍｇ,2144012F1028
610421319,コバシル錠４ｍｇ,2144012F2024
610421320,アダラートＣＲ錠１０ｍｇ,2171014G3022
610421321,アダラートＣＲ錠２０ｍｇ,2171014G4029
610421322,アダラートＣＲ錠４０ｍｇ,2171014G5025
610421346,ランデル錠４０　４０ｍｇ,2149034F3023
