医薬品コード,名称,薬価基準収載医薬品コード
610406345,リチオマール錠１００ｍｇ,1179017F1030
610406346,リチオマール錠２００ｍｇ,1179017F2036
610444094,炭酸リチウム錠１００「ヨシトミ」　１００ｍｇ,1179017F1048
610444095,炭酸リチウム錠２００「ヨシトミ」　２００ｍｇ,1179017F2044
610454090,リーマス錠１００　１００ｍｇ,1179017F1056
610454091,リーマス錠２００　２００ｍｇ,1179017F2052
610463104,炭酸リチウム錠１００ｍｇ「アメル」,1179017F1064
610463105,炭酸リチウム錠２００ｍｇ「アメル」,1179017F2060
620140301,炭酸リチウム錠１００ｍｇ「フジナガ」,1179017F1072
620140501,炭酸リチウム錠２００ｍｇ「フジナガ」,1179017F2079
622712600,炭酸リチウム１００ｍｇ錠,1179017F1013
622712700,炭酸リチウム２００ｍｇ錠,1179017F2010
610409339,リスパダール細粒１％,1179038C1027
610409340,リスパダール錠１ｍｇ,1179038F1023
610409341,リスパダール錠２ｍｇ,1179038F2020
610443072,セロクエル２５ｍｇ錠,1179042F1020
610443073,セロクエル１００ｍｇ錠,1179042F2026
610451001,ジプレキサ錠２．５ｍｇ,1179044F1029
610451002,ジプレキサ錠５ｍｇ,1179044F2025
610451003,ジプレキサ錠１０ｍｇ,1179044F3021
610462008,ジプレキサ細粒１％,1179044C1022
610462014,リスパダール内用液１ｍｇ／ｍＬ　０．１％,1179038S1021
620000170,リスパダール錠３ｍｇ,1179038F3026
620001928,セロクエル細粒５０％,1179042C1023
620002518,ジプレキサザイディス錠５ｍｇ,1179044F4028
620002519,ジプレキサザイディス錠１０ｍｇ,1179044F5024
620003478,エビリファイ散１％,1179045B1021
620003479,エビリファイ錠３ｍｇ,1179045F1023
620003480,エビリファイ錠６ｍｇ,1179045F2020
620004945,エビリファイ錠１２ｍｇ,1179045F3026
620005586,リスパダールＯＤ錠１ｍｇ,1179038F5029
620005587,リスパダールＯＤ錠２ｍｇ,1179038F6025
620005588,リスペリドン細粒１％「アメル」,1179038C1078
620005590,リスペリドン細粒１％「ＮＰ」,1179038C1051
620005591,リスペリドン細粒１％「ＭＥＥＫ」,1179038C1043
620005592,リスペリドン細粒１％「オーハラ」,1179038C1086
620005593,リスペリドン細粒１％「サワイ」,1179038C1094
620005594,リスペリドン細粒１％「ＣＨ」,1179038C1035
620005595,リスペリドン細粒１％「タイヨー」,1179038C1108
620005596,リスペリドン細粒１％「トーワ」,1179038C1116
620005597,リスペリドン細粒１％「日医工」,1179038C1124
620005599,リスペリドン細粒１％「ヨシトミ」,1179038C1140
620005601,リスペリドン錠０．５ｍｇ「ＮＰ」,1179038F4022
620005602,リスペリドン錠１「ＭＥＥＫ」　１ｍｇ,1179038F1040
620005603,リスペリドン錠１「オーハラ」　１ｍｇ,1179038F1082
620005604,リスペリドン錠１ｍｇ「アメル」,1179038F1074
620005606,リスペリドン錠１ｍｇ「ＮＰ」,1179038F1058
620005607,リスペリドン錠１ｍｇ「サワイ」,1179038F1090
620005608,リスペリドン錠１ｍｇ「サンド」,1179038F1104
620005609,リスペリドン錠１ｍｇ「ＣＨ」,1179038F1031
620005610,リスペリドン錠１ｍｇ「タイヨー」,1179038F1112
620005611,リスペリドン錠１ｍｇ「日医工」,1179038F1120
620005613,リスペリドン錠１ｍｇ「ヨシトミ」,1179038F1147
620005614,リスペリドン錠２「ＭＥＥＫ」　２ｍｇ,1179038F2046
620005615,リスペリドン錠２「オーハラ」　２ｍｇ,1179038F2089
620005616,リスペリドン錠２ｍｇ「アメル」,1179038F2070
620005618,リスペリドン錠２ｍｇ「ＮＰ」,1179038F2054
620005619,リスペリドン錠２ｍｇ「サワイ」,1179038F2097
620005620,リスペリドン錠２ｍｇ「サンド」,1179038F2100
620005621,リスペリドン錠２ｍｇ「ＣＨ」,1179038F2038
620005622,リスペリドン錠２ｍｇ「タイヨー」,1179038F2119
620005623,リスペリドン錠２ｍｇ「トーワ」,1179038F2127
620005624,リスペリドン錠２ｍｇ「日医工」,1179038F2135
620005626,リスペリドン錠２ｍｇ「ヨシトミ」,1179038F2151
620005627,リスペリドン錠３「オーハラ」　３ｍｇ,1179038F3042
620005628,リスペリドン錠３ｍｇ「アメル」,1179038F3034
620005629,リスペリドン錠３ｍｇ「タイヨー」,1179038F3050
620005630,リスペリドン内用液分包１ｍｇ「アメル」　０．１％１ｍＬ,1179038S3024
620005633,リスペリドン内用液１ｍｇ／ｍＬ「アメル」　０．１％,1179038S1030
620005634,リスペリドン内用液１ｍｇ／ｍＬ「サワイ」　０．１％,1179038S1048
620005635,リスペリドン内用液１ｍｇ／ｍＬ「ヨシトミ」　０．１％,1179038S1056
620006169,ルーラン錠４ｍｇ,1179043F1032
620006170,ルーラン錠８ｍｇ,1179043F2039
620006687,リスペリドン細粒１％「マイラン」,1179038C1159
620006688,リスペリドン錠１ｍｇ「マイラン」,1179038F1155
620006689,リスペリドン錠２ｍｇ「マイラン」,1179038F2160
620006690,リスペリドン内用液０．５ｍｇ分包「マイラン」　０．１％０．５ｍＬ,1179038S2036
620006691,リスペリドン内用液１ｍｇ分包「マイラン」　０．１％１ｍＬ,1179038S3040
620006692,リスペリドン内用液２ｍｇ分包「マイラン」　０．１％２ｍＬ,1179038S4039
620006782,ロナセン錠２ｍｇ,1179048F1027
620006783,ロナセン錠４ｍｇ,1179048F2023
620006784,ロナセン散２％,1179048B1025
620008152,リスペリドン細粒１％「タカタ」,1179038C1167
620008153,リスペリドン錠０．５ｍｇ「ヨシトミ」,1179038F4049
620008154,リスペリドン錠１ｍｇ「タカタ」,1179038F1163
620008155,リスペリドン錠２ｍｇ「タカタ」,1179038F2178
620008157,リスペリドン錠３ｍｇ「ＮＰ」,1179038F3069
620008158,リスペリドン錠３ｍｇ「サワイ」,1179038F3085
620008159,リスペリドン錠３ｍｇ「サンド」,1179038F3093
620008160,リスペリドン錠３ｍｇ「タカタ」,1179038F3107
620008161,リスペリドン錠３ｍｇ「ヨシトミ」,1179038F3115
620008162,リスペリドン内用液分包０．５ｍｇ「アメル」　０．１％０．５ｍＬ,1179038S2044
620008163,リスペリドン内用液分包２ｍｇ「アメル」　０．１％２ｍＬ,1179038S4047
620008164,リスペリドン内用液分包３ｍｇ「アメル」　０．１％３ｍＬ,1179038S5027
620008165,リスペリドン内用液１ｍｇ／ｍＬ「タカタ」　０．１％,1179038S1064
620008166,リスペリドン内用液１ｍｇ／ｍＬ「トーワ」　０．１％,1179038S1072
620008168,ルーラン錠１６ｍｇ,1179043F3027
620008515,リスペリドン錠３ｍｇ「トーワ」,1179038F3123
620009105,エビリファイ内用液０．１％,1179045S1021
620009455,リスペリドンＯＤ錠１ｍｇ「サワイ」,1179038F5037
620009456,リスペリドンＯＤ錠２ｍｇ「サワイ」,1179038F6033
620009457,リスペリドン錠１ｍｇ「トーワ」,1179038F1171
620009458,リスペリドン錠３「ＭＥＥＫ」　３ｍｇ,1179038F3131
620009459,リスペリドン錠３ｍｇ「マイラン」,1179038F3140
621782703,リスペリドン錠０．５ｍｇ「クニヒロ」,1179038F4065
621782803,リスペリドン錠１ｍｇ「クニヒロ」,1179038F1180
621782903,リスペリドン錠２ｍｇ「クニヒロ」,1179038F2186
621805602,リスペリドン細粒１％「ファイザー」,1179038C1175
621806502,リスペリドン錠１ｍｇ「ファイザー」,1179038F1198
621807402,リスペリドン錠２ｍｇ「ファイザー」,1179038F2194
621807702,リスペリドン内用液０．５ｍｇ分包ファイザー　０．１％０．５ｍＬ,1179038S2060
621807802,リスペリドン内用液１ｍｇ分包「ファイザー」　０．１％１ｍＬ,1179038S3067
621808102,リスペリドン内用液２ｍｇ分包「ファイザー」　０．１％２ｍＬ,1179038S4063
621838003,リスペリドン錠３ｍｇ「クニヒロ」,1179038F3174
621901602,リスペリドン錠３ｍｇ「ファイザー」,1179038F3182
621905201,リスパダール　コンスタ筋注用２５ｍｇ　（懸濁用液付）,1179407G1026
621905301,リスパダール　コンスタ筋注用３７．５ｍｇ　（懸濁用液付）,1179407G2022
621905401,リスパダール　コンスタ筋注用５０ｍｇ　（懸濁用液付）,1179407G3029
621926401,クロザリル錠２５ｍｇ,1179049F1021
621926501,クロザリル錠１００ｍｇ,1179049F2028
621939801,リスパダールＯＤ錠０．５ｍｇ,1179038F7021
621944001,リスペリドンＯＤ錠１ｍｇ「タカタ」,1179038F5053
621944101,リスペリドンＯＤ錠２ｍｇ「タカタ」,1179038F6050
621944201,リスペリドンＯＤ錠３ｍｇ「タカタ」,1179038F8028
621944901,リスペリドンＯＤ錠１ｍｇ「トーワ」,1179038F5061
621945001,リスペリドンＯＤ錠２ｍｇ「トーワ」,1179038F6068
621949301,リスペリドンＯＤ錠１ｍｇ「アメル」,1179038F5045
621949401,リスペリドンＯＤ錠２ｍｇ「アメル」,1179038F6041
621955701,セロクエル２００ｍｇ錠,1179042F3022
621975402,リスペリドン内用液１ｍｇ／ｍＬ「ＭＥＥＫ」　０．１％,1179038S1080
621980601,ロナセン錠８ｍｇ,1179048F3020
