医薬品コード,名称,薬価基準収載医薬品コード
622432101,【廃】デゾラム錠０．２５ｍｇ,1179025F3169
611170850,【廃】デゾラム錠０．５ｍｇ,1179025F1093
611170851,【廃】デゾラム錠１ｍｇ,1179025F2073
611170859,【廃】パルギン錠０．５ｍｇ,1179025F1131
611170860,【廃】パルギン錠１ｍｇ,1179025F2090
622713600,エチゾラム０．２５ｍｇ錠,1179025F3010
622713400,エチゾラム０．５ｍｇ錠,1179025F1018
622713300,エチゾラム１％細粒,1179025C1011
622713500,エチゾラム１ｍｇ錠,1179025F2014
621363003,エチゾラム細粒１％「ＪＧ」,1179025C1011
622397501,エチゾラム錠０．２５ｍｇ「ＥＭＥＣ」,1179025F3010
622379301,エチゾラム錠０．２５ｍｇ「ＪＧ」,1179025F3010
622397601,エチゾラム錠０．２５ｍｇ「ＫＮ」,1179025F3010
622258101,エチゾラム錠０．２５ｍｇ「ＮＰ」,1179025F3010
622389701,エチゾラム錠０．２５ｍｇ「ＳＷ」,1179025F3010
622423301,エチゾラム錠０．２５ｍｇ「ＴＣＫ」,1179025F3010
622418501,エチゾラム錠０．２５ｍｇ「アメル」,1179025F3010
622408101,エチゾラム錠０．２５ｍｇ「オーハラ」,1179025F3010
622525601,エチゾラム錠０．２５ｍｇ「クニヒロ」,1179025F3010
622393801,エチゾラム錠０．２５ｍｇ「ツルハラ」,1179025F3010
622411801,エチゾラム錠０．２５ｍｇ「トーワ」,1179025F3010
622439401,エチゾラム錠０．２５ｍｇ「フジナガ」,1179025F3010
622437101,エチゾラム錠０．２５ｍｇ「日医工」,1179025F3010
622378901,エチゾラム錠０．２５ｍｇ「日新」,1179025F3010
622432102,エチゾラム錠０．２５ｍｇ「武田テバ」,1179025F3010
610412026,エチゾラム錠０．５ｍｇ「ＥＭＥＣ」,1179025F1018
620149003,エチゾラム錠０．５ｍｇ「ＪＧ」,1179025F1018
620149701,エチゾラム錠０．５ｍｇ「ＫＮ」,1179025F1018
622123801,エチゾラム錠０．５ｍｇ「ＮＰ」,1179025F1018
620149601,エチゾラム錠０．５ｍｇ「ＳＷ」,1179025F1018
620149801,エチゾラム錠０．５ｍｇ「ＴＣＫ」,1179025F1018
620148701,エチゾラム錠０．５ｍｇ「アメル」,1179025F1018
620149202,エチゾラム錠０．５ｍｇ「オーハラ」,1179025F1018
622525701,エチゾラム錠０．５ｍｇ「クニヒロ」,1179025F1018
620149301,エチゾラム錠０．５ｍｇ「ツルハラ」,1179025F1018
620148601,エチゾラム錠０．５ｍｇ「トーワ」,1179025F1018
620149501,エチゾラム錠０．５ｍｇ「フジナガ」,1179025F1018
620148502,エチゾラム錠０．５ｍｇ「日医工」,1179025F1018
620149402,エチゾラム錠０．５ｍｇ「日新」,1179025F1018
620149106,エチゾラム錠０．５ｍｇ「武田テバ」,1179025F1018
