医薬品コード,名称,薬価基準収載医薬品コード
622106501,【廃】アスコマーナ錠０．１２５ｍｇ,1124007F1089
611120140,【廃】アスコマーナ錠０．２５,1124007F2042
611120147,【廃】ハルラック錠０．１２５ｍｇ,1124007F1011
611120148,【廃】ハルラック錠０．２５ｍｇ,1124007F2018
622705900,トリアゾラム０．１２５ｍｇ錠,1124007F1011
622706000,トリアゾラム０．２５ｍｇ錠,1124007F2018
622095902,トリアゾラム錠０．１２５ｍｇ「ＣＨ」,1124007F1011
610412126,トリアゾラム錠０．１２５ｍｇ「ＥＭＥＣ」,1124007F1011
621508301,トリアゾラム錠０．１２５ｍｇ「ＦＹ」,1124007F1011
622015001,トリアゾラム錠０．１２５ｍｇ「ＪＧ」,1124007F1011
622108202,トリアゾラム錠０．１２５ｍｇ「ＫＮ」,1124007F1011
622105201,トリアゾラム錠０．１２５ｍｇ「ＴＣＫ」,1124007F1011
621671101,トリアゾラム錠０．１２５ｍｇ「テバ」,1124007F1011
621918401,トリアゾラム錠０．１２５ｍｇ「日医工」,1124007F1011
622106502,トリアゾラム錠０．１２５ｍｇ「日新」,1124007F1011
620037205,トリアゾラム錠０．２５ｍｇ「ＣＨ」,1124007F2018
622075501,トリアゾラム錠０．２５ｍｇ「ＥＭＥＣ」,1124007F2018
621508401,トリアゾラム錠０．２５ｍｇ「ＦＹ」,1124007F2018
622014901,トリアゾラム錠０．２５ｍｇ「ＪＧ」,1124007F2018
620037501,トリアゾラム錠０．２５ｍｇ「ＫＮ」,1124007F2018
620037601,トリアゾラム錠０．２５ｍｇ「ＴＣＫ」,1124007F2018
620037802,トリアゾラム錠０．２５ｍｇ「テバ」,1124007F2018
620038001,トリアゾラム錠０．２５ｍｇ「日医工」,1124007F2018
620037301,トリアゾラム錠０．２５ｍｇ「日新」,1124007F2018
611120117,ハルシオン０．１２５ｍｇ錠,1124007F1020
611120055,ハルシオン０．２５ｍｇ錠,1124007F2026
610422093,【廃】グッドミン錠０．２５ｍｇ,1124009F1037
620006017,【廃】ソレントミン錠０．２５ｍｇ,1124009F1240
620005055,【廃】ネストローム錠０．２５ｍｇ,1124009F1010
610422217,【廃】ノクスタール錠０．２５ｍｇ,1124009F1070
621987202,【廃】ブロチゾラム錠０．１２５ｍｇ「ＮＰ」,1124009F3030
620039801,【廃】ブロチゾラム錠０．２５ｍｇ「ＮＰ」,1124009F1320
620003173,【廃】ブロメトン錠０．２５ｍｇ,1124009F1207
611120118,エバミール錠１．０,1124010F1021
622706400,ブロチゾラム０．２５ｍｇ口腔内崩壊錠,1124009F2017
