医薬品コード,名称,薬価基準収載医薬品コード
620003523,オパイリン錠１２５ｍｇ,1141004F1086
620003524,オパイリン錠２５０ｍｇ,1141004F2058
620007099,ポンタール散５０％,1141005B1062
620007098,ポンタール細粒９８．５％,1141005C2030
611140431,ポンタールカプセル２５０ｍｇ,1141005M2094
620007100,ポンタールシロップ３．２５％,1141005Q1081
621391201,イスキア配合錠Ａ３３０,1143010F2058
621362001,バファリン配合錠Ａ３３０,1143010F2074
620074001,サリチル酸Ｎａ静注０．２５ｇ「フソー」,1143400A1045
620004727,ハフトロン静注０．５ｇ,1143400A2092
620006232,【廃】ザルソロン静注５００ｍｇ,1143400A2114
620074401,サリチル酸ナトリウム静注０．５ｇ「日新」,1143400A2149
620074601,サリチル酸Ｎａ静注０．５ｇ「イセイ」,1143400A2157
620074201,サリチル酸Ｎａ静注０．５ｇ「フソー」,1143400A2165
620007129,ランツジールコーワ錠３０ｍｇ,1145003F1030
620003624,ミリダシン錠９０ｍｇ,1145004F1034
611140828,インフリーカプセル１００ｍｇ,1145005M1020
610406402,インフリーＳカプセル２００ｍｇ,1145005M2026
622709400,ジクロフェナクナトリウム２５ｍｇ錠,1147002F1013
620004439,【廃】アデフロニック錠２５ｍｇ,1147002F1013
620007096,ボルタレン錠２５ｍｇ,1147002F1560
620079301,【廃】サンナックス錠２５ｍｇ,1147002F1013
620079338,ジクロフェナクＮａ錠２５ｍｇ「ＹＤ」,1147002F1013
620079315,ジクロフェナクＮａ錠２５ｍｇ「トーワ」,1147002F1013
620079345,ジクロフェナクＮａ錠２５ｍｇ「ＮＰ」,1147002F1013
620079311,ジクロフェナクＮａ錠２５ｍｇ「ＴＣＫ」,1147002F1013
620079305,ジクロフェナクＮａ錠２５ｍｇ「サワイ」,1147002F1013
620079325,ジクロフェナクＮａ錠２５ｍｇ「ツルハラ」,1147002F1013
620079303,ジクロフェナクＮａ錠２５ｍｇ「イセイ」,1147002F1013
620079349,ジクロフェナクＮａ錠２５ｍｇ「武田テバ」,1147002F1013
622709500,ジクロフェナクナトリウム３７．５ｍｇ徐放カプセル,1147002N1018
610454052,ナボールＳＲカプセル３７．５,1147002N1123
620007095,ボルタレンＳＲカプセル３７．５ｍｇ,1147002N1174
