医薬品コード,名称,薬価基準収載医薬品コード
610443013,リピトール錠５ｍｇ,2189015F1023
610443014,リピトール錠１０ｍｇ,2189015F2020
610454084,メバロチン細粒０．５％,2189010C1032
610454085,メバロチン錠５　５ｍｇ,2189010F1039
610462015,リポバス錠１０　１０ｍｇ,2189011F2021
610462016,リポバス錠２０　２０ｍｇ,2189011F3028
610470012,ローコール錠１０ｍｇ,2189012F1020
610470013,ローコール錠２０ｍｇ,2189012F2026
610470014,ローコール錠３０ｍｇ,2189012F3022
612180263,リポバス錠５　５ｍｇ,2189011F1025
612180264,メバロチン細粒１％,2189010C2020
612180265,メバロチン錠１０　１０ｍｇ,2189010F2027
620000013,アルセチン錠５　５ｍｇ,2189010F1110
620000014,アルセチン錠１０　１０ｍｇ,2189010F2124
620000038,コレリット錠５ｍｇ,2189010F1209
620000039,コレリット錠１０ｍｇ,2189010F2221
620000051,シンスタチン錠５ｍｇ,2189011F1149
620000052,シンバスタチン錠５ｍｇ「アメル」,2189011F1041
620000053,シンバスタチン錠５「ＭＥＥＫ」　５ｍｇ,2189011F1050
620000054,シンバスタチン錠５ｍｇ「ＯＨＡＲＡ」,2189011F1033
620000070,タツプラミン錠５ｍｇ,2189010F1128
620000071,タツプラミン錠１０ｍｇ,2189010F2132
620000103,プラバスタチンＮａ錠５ｍｇ「アメル」,2189010F1055
620000104,プラバスタチンＮａ錠１０ｍｇ「アメル」,2189010F2043
620000105,プラバスタチンＮａ錠５「ＫＮ」　５ｍｇ,2189010F1063
620000106,プラバスタチンＮａ錠１０「ＫＮ」　１０ｍｇ,2189010F2060
620000107,プラバスタチンナトリウム錠「陽進」５ｍｇ,2189010F1080
620000108,プラバスタチンナトリウム錠「陽進」１０ｍｇ,2189010F2094
620000113,プラバメイト錠５ｍｇ,2189010F1047
620000114,プラバメイト錠１０ｍｇ,2189010F2035
620000151,メバトルテ細粒１％,2189010C2039
620000152,メバトルテ錠５　５ｍｇ,2189010F1098
620000153,メバトルテ錠１０　１０ｍｇ,2189010F2108
620000156,メバリッチ錠５　５ｍｇ,2189010F1179
620000157,メバリッチ錠１０　１０ｍｇ,2189010F2191
620000158,メバリリン錠１０　１０ｍｇ,2189010F2051
620000159,メバレクト錠５ｍｇ,2189010F1144
620000160,メバレクト錠１０ｍｇ,2189010F2167
620000169,ラミアン錠５ｍｇ,2189011F1076
620000171,リダックＭ錠１０　１０ｍｇ,2189010F2086
620000176,リポザート錠５　５ｍｇ,2189011F1084
